"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2935;Przedszkole;"SPORTOWE PRZEDSZKOLE NIEPUBLICZNE";"ul. Klonowa";"4 ";" ";"58-260 ";Bielawa;08574;0983818;"0202011""";"600773290 ";" ";;;DOLNOŚLĄSKIE;dzierżoniowski;"Bielawa - gmina miejska";"021936159 ";"8821910262 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Agnieszka Żyłka";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3165;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. BOHATERÓW 37PP 7 DYWIZJI II AWP W RUSZOWIE";"ul. Zgorzelecka";"1C ";"- ";"59-950 ";Ruszów;26030;0193039;"0225065""";"757714463 ";"757714463 ";gimr@interia.pl;www.spruszow.szkolnastrona.pl;DOLNOŚLĄSKIE;zgorzelecki;"Węgliniec - obszar wiejski";"001179917 ";"6151800405 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"IRENA DROŚ";"GMINA WĘGLINIEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Węgliniec
3170;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W CZERWONEJ  WODZIE";"ul. Kolejowa";"22 ";"- ";"59-940 ";"Czerwona Woda";08828;0192904;"0225065""";"757780285 ";"757780285 ";szkola.czerwona.woda@wp.pl;;DOLNOŚLĄSKIE;zgorzelecki;"Węgliniec - obszar wiejski";"001179946 ";"6151504380 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Lilla Ławniczak";"GMINA WĘGLINIEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Węgliniec
3180;Przedszkole;"MIEJSKIE PRZEDSZKOLE PUBLICZNE IM. ŚWIĘTEGO MIKOŁAJA W WĘGLIŃCU";"ul. Kościuszki";"26A ";"- ";"59-940 ";Węgliniec;09572;0936492;"0225064""";"757712034 ";"757712034 ";MPPWEGLINIEC@INTERIA.PL;;DOLNOŚLĄSKIE;zgorzelecki;"Węgliniec - miasto";"021425393 ";"6152028303 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"REGINA ŚMIGIELSKA";"GMINA WĘGLINIEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Węgliniec
3181;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. MARII KRASICKIEJ W WĘGLIŃCU";"ul. Kościuszki";"2 ";" ";"59-940 ";Węgliniec;09572;0936492;"0225064""";"757712157 ";"757712157 ";SP.WEGLINIEC@INTERIA.PL;;DOLNOŚLĄSKIE;zgorzelecki;"Węgliniec - miasto";"000264207 ";"6151504368 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"SYLWIA SALAS";"GMINA WĘGLINIEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Węgliniec
3194;Przedszkole;"PRZEDSZKOLE NR 2 TAJEMNICZY OGRÓD";"ul. Sławka";"5 ";" ";"51-690 ";Wrocław-Śródmieście;20209;0986952;"0264069""";"717986776 ";" ";sekretariat.p002@wroclawskaedukacja.pl;www.przedszkole2.edu.wroclaw.pl;DOLNOŚLĄSKIE;Wrocław;"Wrocław-Śródmieście - delegatura";"932098782 ";"8981871401 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Grzegorz Kempa";"WROCŁAW MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";DOLNOŚLĄSKIE;Wrocław;"Wrocław-Stare Miasto"
3196;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. WANDY CHOTOMSKIEJ W ŁAGOWIE";"ul. Szkolna";"2 ";" ";"59-900 ";Łagów;21970;0193329;"0225072""";"757715969 ";"757715969 ";sp.lagow@wp.pl;www.splagow.szkolnastrona.pl;DOLNOŚLĄSKIE;zgorzelecki;"Zgorzelec - gmina wiejska";"231084340 ";"6151834315 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Sylwia Słabicka";"GMINA ZGORZELEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Zgorzelec
3203;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W ŻARSKIEJ WSI";;"32 ";" ";"59-900 ";"Żarska Wieś";;0193460;"0225072""";"757718554 ";"757718554 ";spzarska@interia.pl;www.spzarska.szkolnastrona.pl;DOLNOŚLĄSKIE;zgorzelecki;"Zgorzelec - gmina wiejska";"001312240 ";"6151040762 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Bożena Pawełek";"GMINA ZGORZELEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Zgorzelec
3232;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. KORNELA MAKUSZYŃSKIEGO W OSIEKU ŁUŻYCKIM";;"56 ";" ";"59-900 ";"Osiek Łużycki";;0193341;"0225072""";"757718195 ";"757718195 ";sposieksekretariat@poczta.onet.pl;www.sposiek.szkolnastrona.pl;DOLNOŚLĄSKIE;zgorzelecki;"Zgorzelec - gmina wiejska";"001177717 ";"6151046173 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Beata Aniszkiewicz";"GMINA ZGORZELEC";Gmina;DOLNOŚLĄSKIE;zgorzelecki;Zgorzelec
3338;"Branżowa szkoła I stopnia";"PUBLICZNA SZKOŁA GASTRONOMICZNA HO-GA BRANŻOWA";"ul. Jedności Narodowej";"46A ";" ";"50-258 ";Wrocław-Śródmieście;07435;0986952;"0264069""";"713721319 ";" ";ho-ga@wp.pl;www.ho-ga.com.pl;DOLNOŚLĄSKIE;Wrocław;"Wrocław-Śródmieście - delegatura";"021943857 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Halina Lipnicka";"KAMILA PACZKA";"Osoba fizyczna";DOLNOŚLĄSKIE;Wrocław;"Wrocław-Psie Pole"
