"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2872;"Punkt przedszkolny";"PUNKT PRZEDSZKOLNY PRZY SZKOLE PODSTAWOWEJ IM BOHATERÓW WRZESNIA 1939 W ŚWIETOSŁAWIU";;"5`1 ";" ";"87-408 ";Miliszewy;;0842443;"0405022""";"566837067 ";" ";swietoslaw32@wp.pl;;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;"Ciechocin - gmina wiejska";"341308596 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marzanna Suchorzyńska";"GMINA CIECHOCIN";Gmina;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Ciechocin
2873;"Punkt przedszkolny";"PUNKT PRZEDSZKOLNY PRZY SZKOLE PODSTAWOWEJ W CIECHOCINIE";;"115 ";" ";"87-408 ";Elgiszewo;;0842319;"0405022""";"566837701 ";" ";spciech@interia.pl;;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;"Ciechocin - gmina wiejska";"341309012 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Dagmara Chraplewska-Kołcz";"GMINA CIECHOCIN";Gmina;KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Ciechocin
3098;Przedszkole;"PRZEDSZKOLE NR 2 ""U JASIA I MAŁGOSI""";"ul. Harcerstwa Polskiego";"6A ";" ";"88-100 ";Inowrocław;06524;0928989;"0407011""";"523574244 ";"523574244 ";biuro@przedszkole2ino.pl;www.przedszkole2ino.pl;KUJAWSKO-POMORSKIE;inowrocławski;"Inowrocław - gmina miejska";"000214646 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Beata Drogowska";"MIASTO INOWROCŁAW";Gmina;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław
3104;Przedszkole;"""SŁONECZKO"" PRZEDSZKOLE NR 4  Z ODDZIAŁAMI INTEGRACYJNYMI";"ul. Kusocińskiego";"11 ";" ";"88-100 ";Inowrocław;10493;0928989;"0407011""";"523578130 ";" ";dyrektorp4ino@wp.pl;;KUJAWSKO-POMORSKIE;inowrocławski;"Inowrocław - gmina miejska";"001097467 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Wioletta Wudniak";"MIASTO INOWROCŁAW";Gmina;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław
3108;Przedszkole;"PUBLICZNE PRZEDSZKOLE W ZAKRZEWIE";"ul. Osiedlowa";"25 ";" ";"87-707 ";Zakrzewo;15300;0872243;"0401092""";"542720175 ";"542720175 ";zos@zakrzewo.com.pl;www.przedszkole-zakrzewo.com.pl;KUJAWSKO-POMORSKIE;aleksandrowski;"Zakrzewo - gmina wiejska";"341312630 ";"8911622986 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GMINA ZAKRZEWO";Gmina;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo
3110;Przedszkole;"PRZEDSZKOLE NR 14 MUZYCZNA KRAINA""";"ul. św. Ducha";"86 ";" ";"88-100 ";Inowrocław;04346;0928989;"0407011""";"523570089 ";" ";p14ino@poczta.fm;;KUJAWSKO-POMORSKIE;inowrocławski;"Inowrocław - gmina miejska";"001013660 ";"5562327571 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Mrówczyńska";"MIASTO INOWROCŁAW";Gmina;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław
3112;Przedszkole;"PRZEDSZKOLE NR 20 ""KUJAWSKIE DZIECI""";"ul. Wojska Polskiego";"13A ";" ";"88-100 ";Inowrocław;24628;0928989;"0407011""";"523522768 ";" ";;;KUJAWSKO-POMORSKIE;inowrocławski;"Inowrocław - gmina miejska";"001321491 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Magdalena Zwolińska";"MIASTO INOWROCŁAW";Gmina;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław
3205;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY";"ul. Maja";"4 ";" ";"87-300 ";Brodnica;11937;0982954;"0402011""";"0564982343 ";"0564982343 ";jedynkabrodnica@wp.pl;http://sp1brodnica.edupage.org;KUJAWSKO-POMORSKIE;brodnicki;"Brodnica - gmina miejska";"000255651 ";"8741015938 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"MIASTO BRODNICA";Gmina;KUJAWSKO-POMORSKIE;brodnicki;Brodnica
3213;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 2  Z ODDZIAŁAMI INTEGRACYJNYMI  IM.  POLSKICH OLIMPIJCZYKÓW W BRODNICY";"ul. Kolejowa";"62 ";" ";"87-300 ";Brodnica;08828;0982954;"0402011""";"0564934656 ";"0564934656 ";spdwa@poczta.onet.pl;www.sp2.brodnica.edu.pl;KUJAWSKO-POMORSKIE;brodnicki;"Brodnica - gmina miejska";"001223943 ";"8741033824 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"MIASTO BRODNICA";Gmina;KUJAWSKO-POMORSKIE;brodnicki;Brodnica
3214;"Szkoła podstawowa";"KATOLICKA SZKOŁA PODSTAWOWA IM.BŁ.KS. WŁADYSŁAWA DEMSKIEGO";"ul. Wojska Polskiego";"20 ";" ";"88-100 ";Inowrocław;24628;0928989;"0407011""";"523526595 ";" ";;;KUJAWSKO-POMORSKIE;inowrocławski;"Inowrocław - gmina miejska";"341312681 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Jan Maćkowiak";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
