"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2885;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 1 W ZAMOŚCIU";"ul. Okopowa";"1 ";" ";"22-400 ";Zamość;14886;0987510;"0664011""";"846392269 ";" ";przedszkole1zamosc@wp.pl;przedszkole1.zamosc.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"951077561 ";"9222428861 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Irena Małgorzata Mróz";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2886;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 9 W ZAMOŚCIU";"ul. Oboźna";"10 ";" ";"22-400 ";Zamość;14600;0987510;"0664011""";"846272729 ";" ";przedszkolenr9zamosc@wp.pl;bip.przedszkole9.zamosc.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"951077696 ";"9222428803 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Joanna Marzena Figiel";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2887;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 10 W ZAMOŚCIU";"ul. Lwowska";"17 ";" ";"22-400 ";Zamość;11467;0987510;"0664011""";"846386577 ";"846386577 ";przedszkolenr10zamosc@op.pl;bip.przedszkole10.zamosc.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"951077704 ";"9222355406 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Barbara Pieczniak";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2888;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 1 IM. JANA BRZECHWY W TOMASZOWIE LUBELSKIM";"ul. Chocimska";"17 ";" ";"22-600 ";"Tomaszów Lubelski";02790;0988075;"0618011""";"846643558 ";"846643558 ";przedszkoletomaszowmp@wp.pl;www.tomaszow-lubelski.pl/przedszkole_nr_1;LUBELSKIE;tomaszowski;"Tomaszów Lubelski - gmina miejska";"060725133 ";"9212020242 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Piasecka";"MIASTO TOMASZÓW LUBELSKI";Gmina;LUBELSKIE;tomaszowski;"Tomaszów Lubelski"
2889;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 8 IM.JANA BRZECHWY W ZAMOŚCIU";"ul. Kamienna";"6 ";" ";"22-400 ";Zamość;07879;0987510;"0664011""";"846275191 ";" ";przedszkolemiejskienr8@o2.pl;przedszkole8wzamosciu.eprzedszkola.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"951077673 ";"9222428795 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Agata Maria Kozak";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2928;"Liceum ogólnokształcące";"III LICEUM OGÓLNOKSZTAŁCĄCE IM. CYPRIANA KAMILA NORWIDA W ZAMOŚCIU";"ul. Kilińskiego";"15 ";" ";"22-400 ";Zamość;08435;0987510;"0664011""";"846386557 ";"846390501 ";lo3_zamosc@interia.pl;lo3zamosc.hg.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"950211721 ";"9221070400 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Antoni Szostek";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2941;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 12 W ZAMOŚCIU";"ul. Wyszyńskiego";"32 ";" ";"22-400 ";Zamość;25119;0987510;"0664011""";"846279933 ";"846279933 ";przedszkole12zam@gmail.com;przedszkole12.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"951077710 ";"9222428737 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Dorota Szewczyk";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2942;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 13 Z ODDZIAŁAMI INTEGRACYJNYMI W ZAMOŚCIU";"ul. Wąska";"7 ";" ";"22-400 ";Zamość;23795;0987510;"0664011""";"846274420 ";"846274420 ";pm13@idsl.pl;http://www.clikweb168647.home.pl;LUBELSKIE;Zamość;"Zamość - gmina miejska";"951077727 ";"9222428743 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jadwiga Jolanta Bartoszczyk";"MIASTO ZAMOŚĆ";"Miasto na prawach powiatu";LUBELSKIE;Zamość;Zamość
2971;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 3 IM. DOKTORA JANUSZA PETERA W TOMASZOWIE LUBELSKIM";"ul. Żwirki i Wigury";"6 ";" ";"22-600 ";"Tomaszów Lubelski";26608;0988075;"0618011""";"846642443 ";" ";spnr3tom@post.pl;www.spnr3tom.neostrada.pl;LUBELSKIE;tomaszowski;"Tomaszów Lubelski - gmina miejska";"000273608 ";"9211378556 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Leszek Kodymowski";"MIASTO TOMASZÓW LUBELSKI";Gmina;LUBELSKIE;tomaszowski;"Tomaszów Lubelski"
2975;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 5 IM. KRASNALA HAŁABAŁY W TOMASZOWIE LUBELSKIM";"ul. Moniuszki";"51 ";" ";"22-600 ";"Tomaszów Lubelski";13246;0988075;"0618011""";"846650086 ";"846650086 ";przedszkole1982@tlen.pl;;LUBELSKIE;tomaszowski;"Tomaszów Lubelski - gmina miejska";"060725156 ";"9212020213 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Majak-Rebizant";"MIASTO TOMASZÓW LUBELSKI";Gmina;LUBELSKIE;tomaszowski;"Tomaszów Lubelski"
