"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
3565;Przedszkole;"PRZEDSZKOLE JĘZYKOWE LINGUALAND";"ul. Aleja Wojska Polskiego";"88B ";"88B ";"65-762 ";"Zielona Góra";33764;0988313;"0862011""";"684544855 ";"684544855 ";zielonagora@abrakadabra.edu.pl;;LUBUSKIE;"Zielona Góra";"Zielona Góra - gmina miejska";"081064592 ";"9730262390 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Magdalena Karwicka Staśkiewicz";"MAGDALENA KARWICKA STAŚKIEWICZ";"Osoba fizyczna";LUBUSKIE;"Zielona Góra";"Zielona Góra"
3616;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ""HAPPY DAYS-SZCZĘŚLIWE DNI""";"ul. Wrocławska";"20 ";" ";"65-427 ";"Zielona Góra";24806;0988313;"0862011""";"728847847 ";" ";przedszkole@happydays-zgora.pl;www.happydays-zgora.pl;LUBUSKIE;"Zielona Góra";"Zielona Góra - gmina miejska";"081064617 ";"6971483487 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Agnieszka Kusz";"FUNDACJA ""HAPPY DAYS - SCZĘŚLIWE DNI""";Fundacje;DOLNOŚLĄSKIE;Wrocław;"Wrocław-Psie Pole"
3721;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE Z ODDZIAŁAMI DLA DZIECI Z AUTYZMEM";"ul. Krasickiego";"4 ";" ";"65-512 ";"Zielona Góra";09830;0988313;"0862011""";"684556940 ";" ";;;LUBUSKIE;"Zielona Góra";"Zielona Góra - gmina miejska";"081064698 ";"9291679997 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Justyna Naumowicz";"STOWARZYSZENIE POMOCY OSOBOM AUTYSTYCZNYM ""DALEJ RAZEM""";Stowarzyszenia;LUBUSKIE;"Zielona Góra";"Zielona Góra"
3766;"Zespół szkół i placówek oświatowych";"CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO ""ELEKTRYK""";"ul. Witosa";"25 ";" ";"67-100 ";"Nowa Sól";34244;0988520;"0804011""";"684755555 ";"684755540 ";elektryk1@op.pl;www.zsp1-elektryk.pl;LUBUSKIE;nowosolski;"Nowa Sól - gmina miejska";"081064764 ";" ";publiczna;;;"Grzegorz Konigsberg";"POWIAT NOWOSOLSKI";"Powiat ziemski";LUBUSKIE;nowosolski;"Nowa Sól"
3847;Przedszkole;"PRZEDSZKOLE NR 7 ""POD MUCHOMORKIEM"" W SULECHOWIE";"os. Zacisze";"3 ";" ";"66-100 ";Sulechów;25313;0988595;"0809064""";"683853016 ";"683855379 ";przedszkole@podmuchomorkiem.cba.pl;www.podmuchomorkiem.cba.pl;LUBUSKIE;zielonogórski;"Sulechów - miasto";"978117733 ";"9271663071 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Dotota Klak";"GMINA SULECHÓW";Gmina;LUBUSKIE;zielonogórski;Sulechów
3955;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W BUKOWIE";;"53 ";" ";"66-100 ";Buków;;0914148;"0809065""";" ";" ";szkolabukow@gmail.com;spbukow.edupage.org;LUBUSKIE;zielonogórski;"Sulechów - obszar wiejski";"001103110 ";"9271659098 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Grażyna Dąbrowska";"GMINA SULECHÓW";Gmina;LUBUSKIE;zielonogórski;Sulechów
4074;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W KALSKU";;"65 ";" ";"66-100 ";Kalsk;;0914208;"0809065""";"683857430 ";"683857430 ";spkalsk@wp.pl;www.spkalsk.edupage.org;LUBUSKIE;zielonogórski;"Sulechów - obszar wiejski";"001103133 ";"9271658696 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Alina Kwiatkowska-Lelito";"GMINA SULECHÓW";Gmina;LUBUSKIE;zielonogórski;Sulechów
4081;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W KIJACH";;"141A ";" ";"66-100 ";Kije;;0914237;"0809065""";"683852241 ";"683852241 ";kikola@op.pl;www.szkola.zgo.pl;LUBUSKIE;zielonogórski;"Sulechów - obszar wiejski";"000701889 ";"9271658710 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Józef Krycia";"GMINA SULECHÓW";Gmina;LUBUSKIE;zielonogórski;Sulechów
4162;Przedszkole;"PRZEDSZKOLE NR 5 W SULECHOWIE";"os. Nadodrzańskie";"3B ";" ";"66-100 ";Sulechów;13895;0988595;"0809064""";"683852512 ";"683852512 ";bajkowe@go2.pl;www.przedszkole5.eu;LUBUSKIE;zielonogórski;"Sulechów - miasto";"978117756 ";"9271661652 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Krystyna Talaga";"GMINA SULECHÓW";Gmina;LUBUSKIE;zielonogórski;Sulechów
4168;Przedszkole;"PRZEDSZKOLE NR 6 ""TĘCZOWA SZÓSTKA"" W SULECHOWIE";"ul. Kościuszki";"16 ";" ";"66-100 ";Sulechów;09572;0988595;"0809064""";"683853411 ";"683853411 ";p6@neostrada.pl;www.teczowaszostka.sulechow.pl;LUBUSKIE;zielonogórski;"Sulechów - miasto";"978117740 ";"9271663094 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Dorota Maćków";"GMINA SULECHÓW";Gmina;LUBUSKIE;zielonogórski;Sulechów
