"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
3025;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE W KROŚNIEWICACH";"ul. Łęczycka";"19A ";" ";"99-340 ";Krośniewice;11607;0969095;"1002044""";"242523089 ";"242523089 ";zs1krosniewice@mail.com;lokrosniewice.pl;ŁÓDZKIE;kutnowski;"Krośniewice - miasto";"000206902 ";"7751315009 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GMINA KROŚNIEWICE";Gmina;ŁÓDZKIE;kutnowski;Krośniewice
3668;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA WE WRZESZCZEWICACH";;"14 ";" ";"98-100 ";Wrzeszczewice;;0707403;"1003025""";"436751421 ";"436751421 ";spwrzeszczewice@poczta.onet.pl;;ŁÓDZKIE;łaski;"Łask - obszar wiejski";"101452497 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Jolanta Ośkiewicz";"STOWARZYASZENIE ""NASZA SZKOŁA - WRZESZCZEWICE""";Stowarzyszenia;ŁÓDZKIE;łaski;Łask
3724;"Punkt przedszkolny";"NIEPUBLICZNY PUNKT PRZEDSZKOLNY ""PTYŚ""";"ul. Maja";"4 ";" ";"98-100 ";Łask;11926;0976296;"1003024""";"504767642 ";" ";;;ŁÓDZKIE;łaski;"Łask - miasto";"101453019 ";"7581074184 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA KASPRZAK";"AGNIESZKA KASPRZAK";"Osoba fizyczna";ŁÓDZKIE;łaski;Łask
3892;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA W ŁAGUSZEWIE";;"27A ";" ";"99-414 ";Łaguszew;;0729215;"1005062""";"468384393 ";" ";;;ŁÓDZKIE;łowicki;"Kocierzew Południowy - gmina wiejska";"101454384 ";"8341881796 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marcin Kosowski";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3988;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 1 W KROŚNIEWICACH";"ul. Łęczycka";"17 ";" ";"99-340 ";Krośniewice;11607;0969095;"1002044""";"242523089 ";"242523089 ";;;ŁÓDZKIE;kutnowski;"Krośniewice - miasto";"101453226 ";" ";publiczna;;;"Waldemar Pietrzak";"GMINA KROŚNIEWICE";Gmina;ŁÓDZKIE;kutnowski;Krośniewice
4000;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ W ZADZIMIU";;"38 ";" ";"99-232 ";Kazimierzew;;0720935;"1011062""";"0436786185 ";" ";zespolszkolzadzim@interia.pl;www.zszadzim.pl;ŁÓDZKIE;poddębicki;"Zadzim - gmina wiejska";"731627440 ";"8281363950 ";publiczna;;;"Izabella Świt";"GMINA ZADZIM";Gmina;ŁÓDZKIE;poddębicki;Zadzim
4060;"Punkt przedszkolny";"PUNKT PRZEDSZKOLNY W BUKOWCU";"ul. Szkolna";"3 ";" ";"95-006 ";Bukowiec;21970;0413179;"1006032""";"422279888 ";"422279888 ";spbukowiec@o2.pl;www.spbukowiec.pl;ŁÓDZKIE;"łódzki wschodni";"Brójce - gmina wiejska";"101453670 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GMINA BRÓJCE";Gmina;ŁÓDZKIE;"łódzki wschodni";Brójce
4066;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA W RADOSZEWICACH";"ul. Niemojewskich";"1B ";" ";"98-354 ";Radoszewice;14188;0712887;"1009062""";"0438417122 ";" ";pspradoszewice@op.pl;;ŁÓDZKIE;pajęczański;"Siemkowice - gmina wiejska";"001150434 ";"5080023708 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Aleksandra Romkowska";"GMINA SIEMKOWICE";Gmina;ŁÓDZKIE;pajęczański;Siemkowice
4088;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY  W BUKOWCU";"ul. Szkolna";"3 ";" ";"95-006 ";Bukowiec;21970;0413179;"1006032""";"422279888 ";"422279888 ";spbukowiec@02.pl;www.spbukowiec.pl;ŁÓDZKIE;"łódzki wschodni";"Brójce - gmina wiejska";"101453634 ";" ";publiczna;;;"Alina Kmiecik";"GMINA BRÓJCE";Gmina;ŁÓDZKIE;"łódzki wschodni";Brójce
4246;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ W KUROWICACH";"ul. Szkolna";"1 ";" ";"95-006 ";Kurowice;21970;0413268;"1006032""";"422140084 ";"422140084 ";m.sekretariat@wp.pl;www.gim-kur.edu.pl;ŁÓDZKIE;"łódzki wschodni";"Brójce - gmina wiejska";"100695105 ";"7282726130 ";publiczna;;;"MARZENNA OPOKA-SZEWC";"GMINA BRÓJCE";Gmina;ŁÓDZKIE;"łódzki wschodni";Brójce
