"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2877;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA KOCHANOWSKIEGO W GZOWICACH";;"30 ";" ";"26-630 ";Gzowice;;0625409;"1425062""";"483848480 ";" ";;;MAZOWIECKIE;radomski;"Jedlnia-Letnisko - gmina wiejska";"670990914 ";"7962558878 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Kwiatkowska";"GMINA JEDLNIA-LETNISKO";Gmina;MAZOWIECKIE;radomski;Jedlnia-Letnisko
2879;Przedszkole;"PUBLICZNE PRZEDSZKOLE W JEDLNI - LETNISKO";"ul. Słoneczna";"5 ";"1 ";"26-630 ";Jedlnia-Letnisko;20254;0625444;"1425062""";"483848479 ";" ";;;MAZOWIECKIE;radomski;"Jedlnia-Letnisko - gmina wiejska";"146235158 ";"7962934666 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Wołos";"GMINA JEDLNIA-LETNISKO";Gmina;MAZOWIECKIE;radomski;Jedlnia-Letnisko
2880;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA IM. JANA BRZECHWY W SŁUPICY";;"84 ";" ";"26-630 ";Słupica;;0625668;"1425062""";"483848485 ";" ";;;MAZOWIECKIE;radomski;"Jedlnia-Letnisko - gmina wiejska";"001194437 ";"7962558884 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Hantz";"GMINA JEDLNIA-LETNISKO";Gmina;MAZOWIECKIE;radomski;Jedlnia-Letnisko
2970;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA W GOŁĄBKU";"ul. Szkolna";"26 ";" ";"08-114 ";Gołąbek;21970;0687570;"1426092""";"256316682 ";" ";spgolabek@wp.pl;;MAZOWIECKIE;siedlecki;"Skórzec - gmina wiejska";"146242052 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Sebastian Wiącek";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
2985;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W LIPNIE";;"25 ";" ";"08-210 ";Lipno;;0017510;"1410042""";"833578491 ";" ";splipno25@wp.pl;;MAZOWIECKIE;łosicki;"Platerów - gmina wiejska";"001119536 ";"4960140506 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Tkaczyk";"GMINA PLATERÓW";Gmina;MAZOWIECKIE;łosicki;Platerów
2990;Przedszkole;"PUBLICZNE PRZEDSZKOLE W WILDZE";"ul. Szpaka";"11 ";" ";"08-470 ";"Osiedle Wilga";22058;0694095;"1403132""";"0256853060 ";" ";przedszkole.wilga@op.pl;;MAZOWIECKIE;garwoliński;"Wilga - gmina wiejska";"142719385 ";"8261877350 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Izabela Budyta";"GMINA WILGA";Gmina;MAZOWIECKIE;garwoliński;Wilga
3053;Przedszkole;"ZESPÓŁ SZKÓŁ PRZEDSZKOLE W PRZESMYKACH";"ul. Listopada";"5 ";" ";"08-109 ";Przesmyki;11205;0684582;"1426072""";"256412200 ";" ";;;MAZOWIECKIE;siedlecki;"Przesmyki - gmina wiejska";"710006289 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GMINA PRZESMYKI";Gmina;MAZOWIECKIE;siedlecki;Przesmyki
3178;"Punkt przedszkolny";"WESOŁE KANGURKI";"ul. Ceglana";"14 ";"11 ";"05-800 ";Pruszków;02587;0921510;"1421021""";"697124127 ";" ";;;MAZOWIECKIE;pruszkowski;"Pruszków - gmina miejska";"146247144 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Katarzyna Gierlach";"KATARZYNA GIERLACH";"Osoba fizyczna";MAZOWIECKIE;pruszkowski;Pruszków
3322;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W KRZYNOWŁODZE MAŁEJ";"ul. Szkolna";"4 ";" ";"06-316 ";"Krzynowłoga Mała";21970;0512450;"1422062""";"0297512607 ";" ";krzynowlogamala@gmail.com;;MAZOWIECKIE;przasnyski;"Krzynowłoga Mała - gmina wiejska";"000593709 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GMINA KRZYNOWŁOGA MAŁA";Gmina;MAZOWIECKIE;przasnyski;"Krzynowłoga Mała"
3366;"Szkoła policealna";"POLICEALNA SZKOŁA ZAWODOWA ""EDUKATOR"" W CIECHANOWIE";"ul. Orylska";"3 ";" ";"06-400 ";Ciechanów;15199;0930414;"1402011""";"502134335 ";" ";ciechanow@ckedukator.pl;;MAZOWIECKIE;ciechanowski;"Ciechanów - gmina miejska";"146249551 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";Dorośli;"brak specyfiki";"Agnieszka Paradowska";"TOMASZ PARADOWSKI";"Osoba fizyczna";ŁÓDZKIE;zgierski;Zgierz
3367;"Szkoła policealna";"POLICEALNA JEDNOROCZNA SZKOŁA ZAWODOWA ""EDUKATOR"" W CIECHANOWIE";"ul. Stycznia";"66 ";" ";"06-400 ";Ciechanów;21445;0930414;"1402011""";"502134335 ";" ";ciechanow@ckedukator.pl;www.ciechanow.ckedukator.pl;MAZOWIECKIE;ciechanowski;"Ciechanów - gmina miejska";"146249605 ";" ";"niepubliczna bez uprawnień szkoły publicznej";Dorośli;"brak specyfiki";"Agnieszka Paradowska";"TOMASZ PARADOWSKI";"Osoba fizyczna";ŁÓDZKIE;zgierski;Zgierz
3450;"Młodzieżowy Ośrodek Wychowawczy";"MŁODZIEŻOWY OŚRODEK WYCHOWAWCZY W GOŹDZIKOWIE";"ul. Główna";"1A ";" ";"26-434 ";Goździków;05635;0618830;"1423022""";"0486750343 ";"0486750343 ";mow.gozdzikow@gmail.com;;MAZOWIECKIE;przysuski;"Gielniów - gmina wiejska";"146249150 ";" ";publiczna;;;"Marcin Białek";"POWIAT PRZYSUSKI";"Powiat ziemski";MAZOWIECKIE;przysuski;Przysucha
3452;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W CISIU";"ul. Mostowa";"61 ";" ";"05-074 ";Cisie;13379;0002690;"1412075""";"227837725 ";"227837725 ";spcisie@wp.pl;www.spcisie.szkolnastrona.pl;MAZOWIECKIE;miński;"Halinów - obszar wiejski";"146249410 ";" ";publiczna;;;"Barbara Czułowska";"GMINA HALINÓW";Gmina;MAZOWIECKIE;miński;Halinów
3462;"Zespół szkół i placówek oświatowych";"ZESPÓŁ PLACÓWEK - EUROPEJSKI DOM SPOTKAŃ MŁODZIEŻY W WARSZAWIE";"ul. Długa";"18/20 ";" ";"00-238 ";Warszawa;03839;0918123;"1465011""";"228311545 ";"226357409 ";info@bursa.waw.pl;www.bursa.waw.pl;MAZOWIECKIE;Warszawa;"Warszawa - gmina miejska";"146249019 ";" ";publiczna;;;"Henryk Głuski";"MIASTO STOŁECZNE WARSZAWA";"Miasto na prawach powiatu";MAZOWIECKIE;Warszawa;Śródmieście
3471;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W STUPSKU";"ul. Sienkiewicza";"11 ";" ";"06-561 ";Stupsk;19834;0127522;"1413062""";"236531001 ";" ";;;MAZOWIECKIE;mławski;"Stupsk - gmina wiejska";"001157092 ";"5691617957 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Piotr Paturalski";"GMINA STUPSK";Gmina;MAZOWIECKIE;mławski;Stupsk
3492;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W MORAWACH";;"1 ";" ";"06-560 ";Morawy;;0127373;"1413062""";"236532010 ";" ";;;MAZOWIECKIE;mławski;"Stupsk - gmina wiejska";"000559470 ";"5691551916 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Joanna Dobkowska";"GMINA STUPSK";Gmina;MAZOWIECKIE;mławski;Stupsk
3494;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM.RTM. WITOLDA PILECKIEGO W WYSZYNACH KOŚCIELNYCH";;"114 ";" ";"06-561 ";"Wyszyny Kościelne";;0127597;"1413062""";"236531214 ";" ";;;MAZOWIECKIE;mławski;"Stupsk - gmina wiejska";"001157100 ";"5691615786 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jacek Wiśniewski";"GMINA STUPSK";Gmina;MAZOWIECKIE;mławski;Stupsk
3515;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA IM.ARKADIUSZA GOŁASIA W PŁONIAWACH-BRAMURZE";;"80A ";" ";"06-210 ";Płoniawy-Bramura;;0517499;"1411062""";"297178014 ";" ";sp.ploniawy@vp.pl;;MAZOWIECKIE;makowski;"Płoniawy-Bramura - gmina wiejska";"000641012 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Iwona Jaworska";"GMINA PŁONIAWY-BRAMURA";Gmina;MAZOWIECKIE;makowski;Płoniawy-Bramura
3516;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA IM.BOHATERÓW WRZEŚNIA W WĘGRZYNOWIE";;"150 ";" ";"06-211 ";Węgrzynowo;;0517654;"1411062""";"297174541 ";"297174541 ";sp.weg@wp.pl;sp-wegrzynowo.pl;MAZOWIECKIE;makowski;"Płoniawy-Bramura - gmina wiejska";"001106775 ";"7571336636 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Dawid";"GMINA PŁONIAWY-BRAMURA";Gmina;MAZOWIECKIE;makowski;Płoniawy-Bramura
3518;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA IM.ŚW.STANISŁAWA KOSTKI W CHODKOWIE WIELKIM";;"29 ";" ";"06-210 ";"Chodkowo Wielkie";;0517312;"1411062""";"295930325 ";" ";spchodkowo@interia.pl;;MAZOWIECKIE;makowski;"Płoniawy-Bramura - gmina wiejska";"001106798 ";"7571336547 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Mariola Nowotka";"GMINA PŁONIAWY-BRAMURA";Gmina;MAZOWIECKIE;makowski;Płoniawy-Bramura
3552;"Szkoła policealna";"POLICEALNA SZKOŁA TEB EDUKACJA";"ul. Słowackiego";"84 ";" ";"26-600 ";Radom;20291;0972750;"1463011""";"0483621349 ";"0483621349 ";radom@teb.pl;www.teb.pl;MAZOWIECKIE;Radom;"Radom - gmina miejska";"146272120 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";Dorośli;"brak specyfiki";"Elżbieta Garlacz-Janicka";"TEB EDUKACJA SP. Z O. O.";"Spółki Handlowe";WIELKOPOLSKIE;Poznań;"Poznań-Stare Miasto"
3583;Przedszkole;"PRZEDZKOLE NIEPUBLICZNE NR 11 SIÓSTR RODZINY MARYI";"ul. Kasztanowa";"21 ";" ";"05-270 ";Marki;08171;0920901;"1434021""";"227811030 ";" ";;;MAZOWIECKIE;wołomiński;"Marki - gmina miejska";"146251447 ";"1251617974 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Zofia Pliszka";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
