"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2874;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W TRZYCIĄŻU";;"70 ";" ";"32-353 ";Trzyciąż;;0339916;"1212062""";"0123894026 ";" ";kieca4@wp.pl;;MAŁOPOLSKIE;olkuski;"Trzyciąż - gmina wiejska";"122626848 ";"6771458409 ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Anna Kieca";"ANNA KIECA";"Osoba fizyczna";MAŁOPOLSKIE;olkuski;Trzyciąż
2894;"Szkoła policealna";"POLICEALNE STUDIUM MEDYCZNE W OŚWIĘCIMIU";"ul. Wyzwolenia";"3 ";" ";"32-610 ";Oświęcim;25133;0924997;"1213011""";"338431971 ";" ";sekretariat@akademiazawodowa.pl;;MAŁOPOLSKIE;oświęcimski;"Oświęcim - gmina miejska";"122632978 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";" ";"AGNIESZKA PIECHOCIŃSKA";"Osoba fizyczna";MAŁOPOLSKIE;oświęcimski;Oświęcim
2901;"Szkoła policealna";"POLICEALNA SZKOŁA ADMINISTRACJI ""ŻAK""";"rynek Główny";"3 ";" ";"32-600 ";Oświęcim;05637;0924997;"1213011""";"426770707 ";"426770708 ";centrala@zak.edu.pl;www.zak.edu.pl;MAŁOPOLSKIE;oświęcimski;"Oświęcim - gmina miejska";"122633015 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";Dorośli;"brak specyfiki";"Wiesława Putek";"CENTRUM NAUKI I BIZNESU ""ŻAK"" SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Górna
2920;Przedszkole;"SAMORZĄDOWE PRZEDSZKOLE NR 1 W PRZECISZOWIE";"ul. Szkolna";"8 ";" ";"32-641 ";Przeciszów;21970;0065519;"1213082""";"338413378 ";" ";;;MAŁOPOLSKIE;oświęcimski;"Przeciszów - gmina wiejska";"070560285 ";"5492058099 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Józefa Olejarz";"GMINA PRZECISZÓW";Gmina;MAŁOPOLSKIE;oświęcimski;Przeciszów
2956;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE ""BAJKOWA KRAINA""";;"189 ";" ";"32-740 ";Kobylec;;0823256;"1201052""";"697-739-561 ";" ";;;MAŁOPOLSKIE;bocheński;"Łapanów - gmina wiejska";"122630956 ";"8681960135 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Katarzyna Zborowska";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
2961;Przedszkole;"SAMORZĄDOWE PRZEDSZKOLE NR 2 W PRZECISZOWIE";"ul. Podlesie";"90 ";" ";"32-641 ";Przeciszów;16795;0065519;"1213082""";"338413313 ";" ";;;MAŁOPOLSKIE;oświęcimski;"Przeciszów - gmina wiejska";"122630815 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Janina Kościelnik";"GMINA PRZECISZÓW";Gmina;MAŁOPOLSKIE;oświęcimski;Przeciszów
3002;"Młodzieżowy dom kultury";"MŁODZIEŻOWY DOM KULTURY W OŚWIĘCIMIU";"ul. Olszewskiego";"1 ";" ";"32-602 ";Oświęcim;15008;0924997;"1213011""";"338424264 ";"338424264 ";mdk@mdkoswiecim.pl;www.mdkoswiecim.pl;MAŁOPOLSKIE;oświęcimski;"Oświęcim - gmina miejska";"000747160 ";" ";publiczna;;;"Bogumiła Goryczka";"POWIAT OŚWIĘCIMSKI";"Powiat ziemski";MAŁOPOLSKIE;oświęcimski;Oświęcim
3030;"Centrum Kształcenia Praktycznego";"CENTRUM KSZTAŁCENIA PRAKTYCZNEGO W OŚWIĘCIMIU";"ul. Leszczyńskiej";"8 ";" ";"32-600 ";Oświęcim;10880;0924997;"1213011""";"338434270 ";"338434270 ";ckposwiecim@interia.pl;www.ckp.oswiecim.pl;MAŁOPOLSKIE;oświęcimski;"Oświęcim - gmina miejska";"356855674 ";"5492196602 ";publiczna;;;"Mariusz Tworus";"POWIAT OŚWIĘCIMSKI";"Powiat ziemski";MAŁOPOLSKIE;oświęcimski;Oświęcim
3031;"Poradnia psychologiczno-pedagogiczna";"PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA W OŚWIĘCIMIU";"ul. Bema";"4 ";" ";"32-602 ";Oświęcim;01014;0924997;"1213011""";"338431162 ";"338431162 ";info@poradnia-oswiecim.pl;www.poradnia-oswiecim.pl;MAŁOPOLSKIE;oświęcimski;"Oświęcim - gmina miejska";"000745591 ";"5492053191 ";publiczna;;;"Zofia Jarosz";"POWIAT OŚWIĘCIMSKI";"Powiat ziemski";MAŁOPOLSKIE;oświęcimski;Oświęcim
3033;"Poradnia psychologiczno-pedagogiczna";"PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA W BRZESZCZACH";"ul. Kosynierów";"20 ";" ";"32-620 ";Brzeszcze;09501;0938120;"1213024""";"327374647 ";"327374647 ";poradniap@interia.pl;www.poradnia.brzeszcze.pl;MAŁOPOLSKIE;oświęcimski;"Brzeszcze - miasto";"273875681 ";"5492181658 ";publiczna;;;"Celina Korczyk";"POWIAT OŚWIĘCIMSKI";"Powiat ziemski";MAŁOPOLSKIE;oświęcimski;Oświęcim
3038;"Poradnia psychologiczno-pedagogiczna";"PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA W KĘTACH";"ul. Żwirki i Wigury";"27a ";" ";"32-650 ";Kęty;26608;0924365;"1213044""";"338452304 ";"338452304 ";biuro@poradniakety.pl;www.poradniakety.pl;MAŁOPOLSKIE;oświęcimski;"Kęty - miasto";"000831050 ";"5492176019 ";publiczna;;;"Dorota Bezwińska-Sikora";"POWIAT OŚWIĘCIMSKI";"Powiat ziemski";MAŁOPOLSKIE;oświęcimski;Oświęcim
3082;"Szkoła muzyczna I stopnia";"SZKOŁA MUZYCZNA I STOPNIA";;"490 ";" ";"34-642 ";Dobra;;0423172;"1207032""";"183330454 ";" ";szkolamuzyczna@gminadobra.pl;www.dobramuzyczna.pl;MAŁOPOLSKIE;limanowski;"Dobra - gmina wiejska";"122633080 ";"7372201862 ";publiczna;"Bez kategorii";"brak specyfiki";"Zbigniew Huptyś";"GMINA DOBRA";Gmina;MAŁOPOLSKIE;limanowski;Dobra
3198;"Szkoła muzyczna I stopnia";"SZKOŁA MUZYCZNA I STOPNIA W ŻĘBOCINIE";;"65 ";" ";"32-100 ";Żębocin;;0332400;"1214055""";"123864542 ";" ";;;MAŁOPOLSKIE;proszowicki;"Proszowice - obszar wiejski";"122642333 ";" ";publiczna;"Bez kategorii";"brak specyfiki";" ";"GMINA PROSZOWICE";Gmina;MAŁOPOLSKIE;proszowicki;Proszowice
3354;"Zespół szkół i placówek oświatowych";"ZESPÓŁ PLACÓWEK OŚWIATOWYCH W SIEPRAWIU";"ul. Przytockiego";"10 ";" ";"32-447 ";Siepraw;45687;0333842;"1209062""";"12274-61-47 ";"12274-60-60 ";zpospsiepraw@op.pl;;MAŁOPOLSKIE;myślenicki;"Siepraw - gmina wiejska";"350548304 ";"6811795918 ";publiczna;;;"Elżbieta Leśniak";"GMINA SIEPRAW";Gmina;MAŁOPOLSKIE;myślenicki;Siepraw
3389;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA W ŁONIOWEJ";;"210 ";" ";"32-854 ";Łoniowa;;0819059;"1202042""";"146656125 ";" ";sp-ln@gminadebno.pl;;MAŁOPOLSKIE;brzeski;"Dębno - gmina wiejska";"001190936 ";"8691725424 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Marecik";"GMINA DĘBNO";Gmina;MAŁOPOLSKIE;brzeski;Dębno
3432;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. ŚW. BRATA ALBERTA W CZECHÓWCE";"ul. Szkolna";"72 ";" ";"32-406 ";Czechówka;21970;0333747;"1209062""";"122746570 ";"122746570 ";spczechowka@interia.pl;;MAŁOPOLSKIE;myślenicki;"Siepraw - gmina wiejska";"357242778 ";"6811795901 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Stanisława Kasprzycka";"GMINA SIEPRAW";Gmina;MAŁOPOLSKIE;myślenicki;Siepraw
3453;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE W KOSZYCACH MAŁYCH";"ul. Oświatowa";"1 ";" ";"33-111 ";"Koszyce Małe";15436;0832835;"1216092""";"146522854 ";" ";;;MAŁOPOLSKIE;tarnowski;"Tarnów - gmina wiejska";"122635735 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Jadwiga Siembab";"JADWIGA SIEMBAB";"Osoba fizyczna";MAŁOPOLSKIE;tarnowski;Tarnów
3474;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"OŚRODEK KSZTAŁCENIA ZAWODOWEGO W PODOLSZU";"ul. Długa";"47 ";" ";"32-640 ";Podolsze;03839;0076836;"1213095""";"338412745 ";"338412745 ";a.jazowski@wp.pl;;MAŁOPOLSKIE;oświęcimski;"Zator - obszar wiejski";"122635847 ";" ";niepubliczna;;;"Andrzej Jazowski";"ANDRZEJ JAZOWSKI";"Osoba fizyczna";MAŁOPOLSKIE;oświęcimski;Zator
3505;Przedszkole;"PRZEDSZKOLE PUBLICZNE W TURZY";;"280 ";" ";"33-167 ";Turza;;0829767;"1216072""";"146531088 ";"146531088 ";przedszkoleturza@gmail.com;;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski - gmina wiejska";"850467091 ";"8732032179 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Renata Gomułka";"GMINA RZEPIENNIK STRZYŻEWSKI";Gmina;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski"
3525;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA W NIWCE";;"25 ";" ";"33-130 ";Niwka;;0827886;"1216055""";"146870024 ";" ";;;MAŁOPOLSKIE;tarnowski;"Radłów - obszar wiejski";"122647626 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";" ";"STOWARZYSZENIE ""NIWKA DZIECIOM""";Stowarzyszenia;MAŁOPOLSKIE;tarnowski;Radłów
3526;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE W NIWCE";;"25 ";" ";"33-130 ";Niwka;;0827886;"1216055""";"146870024 ";"146870024 ";spniwka@op.pl;www.spniwka.pl;MAŁOPOLSKIE;tarnowski;"Radłów - obszar wiejski";"122636380 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";" ";"STOWARZYSZENIE ""NIWKA DZIECIOM""";Stowarzyszenia;MAŁOPOLSKIE;tarnowski;Radłów
3533;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE W BISKUPICACH RADŁOWSKICH";"ul. Szkolna";"2 ";" ";"33-130 ";"Biskupice Radłowskie";21970;0827828;"1216055""";"146781416 ";" ";;;MAŁOPOLSKIE;tarnowski;"Radłów - obszar wiejski";"122636670 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Miś";"STOWARZYSZENIE NA RZECZ WSI BISKUPICE RADŁOWSKIE";Stowarzyszenia;MAŁOPOLSKIE;tarnowski;Radłów
3549;Przedszkole;"PRZEDSZKOLE PUBLICZNE W RZEPIENNIKU BISKUPIM";;"223 ";" ";"33-163 ";"Rzepiennik Biskupi";;0829566;"1216072""";"146530030 ";"146530030 ";przedszkolebiskupi@gmail.com;;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski - gmina wiejska";"850467100 ";"8732031665 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Władysława Gębarowska";"GMINA RZEPIENNIK STRZYŻEWSKI";Gmina;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski"
3550;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W RZEPIENNIKU STRZYŻEWSKIM";;"402 ";" ";"33-163 ";"Rzepiennik Strzyżewski";;0829655;"1216072""";"146530014 ";"146530014 ";sp_rzep_strzyz@poczta.onet.pl;;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski - gmina wiejska";"001189117 ";"8731794757 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marta Przepióra";"GMINA RZEPIENNIK STRZYŻEWSKI";Gmina;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski"
3551;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W RZEPIENNIKU BISKUPIM";;"292 ";" ";"33-163 ";"Rzepiennik Biskupi";;0829566;"1216072""";"146530028 ";"146530028 ";spbiskupi@poczta.onet.pl;www.spbiskupi.cba.pl;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski - gmina wiejska";"001189100 ";"8731794697 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Myśliwiec";"GMINA RZEPIENNIK STRZYŻEWSKI";Gmina;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski"
3556;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W RZEPIENNIKU SUCHYM IM.MARII KONOPNICKIEJ";;"176 ";" ";"33-163 ";"Rzepiennik Suchy";;0829721;"1216072""";"146531569 ";"146531569 ";szkolasuchy@interia.pl;;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski - gmina wiejska";"001189123 ";"8731794800 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Zofia Małopolska";"GMINA RZEPIENNIK STRZYŻEWSKI";Gmina;MAŁOPOLSKIE;tarnowski;"Rzepiennik Strzyżewski"
3558;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 8 W KRAKOWIE";"ul. Wrony";"115 ";" ";"30-399 ";Kraków-Podgórze;24815;0950960;"1261049""";"122621020 ";"122621020 ";sp133@wp.pl;sp133krakow.edupage.org;MAŁOPOLSKIE;Kraków;"Kraków-Podgórze - delegatura";"122636315 ";" ";publiczna;;;"Agata Luber";"GMINA MIEJSKA KRAKÓW-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";MAŁOPOLSKIE;Kraków;Kraków-Śródmieście
