"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2936;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W GRODKOWIE";"ul. Sienkiewicza";"29 ";" ";"49-200 ";Grodków;19830;0965401;"1601034""";"774155461 ";"774155461 ";sekretariat@logrodkow.civ.pl;www.logrodkow.pl;OPOLSKIE;brzeski;"Grodków - miasto";"532397913 ";"7531676389 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Monika Musiał-Biernat";"POWIAT BRZESKI";"Powiat ziemski";OPOLSKIE;brzeski;Brzeg
2937;"Liceum ogólnokształcące";"I LICEUM OGÓLNOKSZTAŁCĄCE IM. BOLESŁAWA CHROBREGO W BRZEGU";"ul. Armii Krajowej";"7 ";" ";"49-300 ";Brzeg;00432;0965252;"1601011""";"774163625 ";"774242143 ";lo1brzeg@wodip.opole.pl;lo1brzeg.wodip.opole.pl;OPOLSKIE;brzeski;"Brzeg - gmina miejska";"532397563 ";"7471067208 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Dyminczuk";"POWIAT BRZESKI";"Powiat ziemski";OPOLSKIE;brzeski;Brzeg
2960;"Liceum ogólnokształcące";"II LICEUM OGÓLNOKSZTAŁCĄCE IM. ZBIGNIEWA HERBERTA W BRZEGU";"ul. Maja";"7 ";" ";"49-305 ";Brzeg;11926;0965252;"1601011""";"774111408 ";"774111408 ";lo2brzeg@wodip.opole.pl;lo2brzeg.wodip.opole.pl;OPOLSKIE;brzeski;"Brzeg - gmina miejska";"532400897 ";"7471042148 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Leszek Lipiński";"POWIAT BRZESKI";"Powiat ziemski";OPOLSKIE;brzeski;Brzeg
3021;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W JASIENICY DOLNEJ";;"156 ";" ";"48-315 ";"Jasienica Dolna";;0498796;"1607042""";"774359627 ";"774359627 ";;;OPOLSKIE;nyski;"Łambinowice - gmina wiejska";"161474693 ";" ";publiczna;;;"Joanna Bogusławska - Koralik";"GMINA ŁAMBINOWICE";Gmina;OPOLSKIE;nyski;Łambinowice
3298;"Poradnia psychologiczno-pedagogiczna";"PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA W BRZEGU";"ul. Wyszyńskiego";"23 ";" ";"49-300 ";Brzeg;33784;0965252;"1601011""";"774163207 ";"774163207 ";sekretariat@poradnia-brzeg.edu.pl;www.poradnia-brzeg.edu.pl;OPOLSKIE;brzeski;"Brzeg - gmina miejska";"000743296 ";"7471619441 ";publiczna;;;"Barbara Sadkowska-Jakubów";"POWIAT BRZESKI";"Powiat ziemski";OPOLSKIE;brzeski;Brzeg
3361;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ MEDYCZNYCH W BRANICACH";"ul. Szpitalna";"18 ";" ";"48-140 ";Branice;22073;0491742;"1602022""";"774868665 ";"774868665 ";studium@medyk-branice.pl;http://www.medyk-branice.pl/;OPOLSKIE;głubczycki;"Branice - gmina wiejska";"160204738 ";" ";publiczna;;;"Benedykt Pospiszyl";"WOJEWÓDZTWO OPOLSKIE";"Samorząd województwa";OPOLSKIE;Opole;Opole
3443;"Poradnia psychologiczno-pedagogiczna";"PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA W GRODKOWIE";"ul. Kasztanowa";"3 ";" ";"49-200 ";Grodków;08171;0965401;"1601034""";"774155511 ";"774155511 ";pppgrodkow@op.pl;;OPOLSKIE;brzeski;"Grodków - miasto";"000743020 ";"7471671097 ";publiczna;;;"Beata Sobów";"POWIAT BRZESKI";"Powiat ziemski";OPOLSKIE;brzeski;Brzeg
3496;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ MEDYCZNYCH W BRZEGU";"ul. Ofiar Katynia";"25 ";" ";"49-300 ";Brzeg;14793;0965252;"1601011""";"774162383 ";"774162383 ";sekretariat@medykbrzeg.pl;http://www.medykbrzeg.pl/;OPOLSKIE;brzeski;"Brzeg - gmina miejska";"160230351 ";" ";publiczna;;;"Marta Polanowska";"WOJEWÓDZTWO OPOLSKIE";"Samorząd województwa";OPOLSKIE;Opole;Opole
3537;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"VCS - SZKOLENIA";"ul. Starobrzeska";"4 ";" ";"49-305 ";Brzeg;20917;0965252;"1601011""";"503139100 ";"774167929 ";vcs.brzeg@wp.pl;;OPOLSKIE;brzeski;"Brzeg - gmina miejska";"161475304 ";" ";niepubliczna;;;"Danuta Bil";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3659;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 1 W PRUDNIKU";"ul. Podgórna";"9 ";" ";"48-200 ";Prudnik;16742;0965878;"1610044""";"774067565 ";"774067565 ";sp1prudnik@interia.eu;;OPOLSKIE;prudnicki;"Prudnik - miasto";"161475422 ";" ";publiczna;;;"Ewelina Langfort";"GMINA PRUDNIK";Gmina;OPOLSKIE;prudnicki;Prudnik
3662;Przedszkole;"PRZEDSZKOLE PUBLICZNE W KOŚCIERZYCACH";;"64 ";" ";"49-314 ";Kościerzyce;;0498550;"1601052""";"774126807 ";"774126807 ";przedszkole.publiczne7@neostrada.pl;;OPOLSKIE;brzeski;"Lubsza - gmina wiejska";"530576942 ";"7471671074 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GMINA LUBSZA";Gmina;OPOLSKIE;brzeski;Lubsza
3676;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY NR 2 W PRUDNIKU";"ul. Szkolna";"12 ";" ";"48-200 ";Prudnik;21970;0965878;"1610044""";"774067980 ";"774067980 ";sp3prudnik@wodip.opole.pl;;OPOLSKIE;prudnicki;"Prudnik - miasto";"161475439 ";" ";publiczna;;;"Ewa Jarzycka";"GMINA PRUDNIK";Gmina;OPOLSKIE;prudnicki;Prudnik
3755;"Zespół szkół i placówek oświatowych";"ZESPÓŁ GIMNAZJALNO-SZKOLNO-PRZEDSZKOLNY W CHOCIANOWICACH";;"78 ";" ";"46-280 ";Chocianowice;;0497437;"1604032""";"774132758 ";" ";sekretariat@chocianowice.edu.pl;;OPOLSKIE;kluczborski;"Lasowice Wielkie - gmina wiejska";"532312160 ";"7511647640 ";publiczna;;;"Józef Woźny";"GMINA LASOWICE WIELKIE";Gmina;OPOLSKIE;kluczborski;"Lasowice Wielkie"
3827;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO - PRZEDSZKOLNY W CZEPIELOWICACH";;"31 ";" ";"49-314 ";Czepielowice;;0498508;"1601052""";"774120220 ";"774120221 ";pspczepielowice.sekretariat@op.pl;;OPOLSKIE;brzeski;"Lubsza - gmina wiejska";"161475592 ";" ";publiczna;;;"Tomasz Komarnicki";"GMINA LUBSZA";Gmina;OPOLSKIE;brzeski;Lubsza
3853;"Specjalny Ośrodek Szkolno-Wychowawczy";"SPECJALNY OŚRODEK SZKOLNO_WYCHOWAWCZY W GŁOGÓWKU";"ul. Batorego";"2 ";" ";"48-250 ";Głogówek;00886;0965281;"1610024""";"0774372929 ";" ";osw.sekretariat@gmail.com;www.osw-glogowek.pl;OPOLSKIE;prudnicki;"Głogówek - miasto";"530518258 ";" ";publiczna;;;"Danuta Kopiec";"POWIAT PRUDNICKI";"Powiat ziemski";OPOLSKIE;prudnicki;Prudnik
3855;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ W GŁOGÓWKU";"ul. Powstańców";"34 ";" ";"48-250 ";Głogówek;17354;0965281;"1610024""";"0773373301 ";"0773373301 ";sekretariat@zsglogowek.pl;www.zsglogowek.pl;OPOLSKIE;prudnicki;"Głogówek - miasto";"000743126 ";" ";publiczna;;;"Artur Stochmiałek";"POWIAT PRUDNICKI";"Powiat ziemski";OPOLSKIE;prudnicki;Prudnik
3856;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 W PRUDNIKU";"ul. Gimnazjalna";"2 ";" ";"48-200 ";Prudnik;05527;0965878;"1610044""";"0774362316 ";"0774362316 ";lo1prudnik@wodip.opole.pl;www.zso1prudnik.pl;OPOLSKIE;prudnicki;"Prudnik - miasto";"000716856 ";" ";publiczna;;;"Jadwiga Harasymowicz";"POWIAT PRUDNICKI";"Powiat ziemski";OPOLSKIE;prudnicki;Prudnik
3857;"Specjalny Ośrodek Szkolno-Wychowawczy";"SPECJALNY OŚRODEK SZKOLNO-WYCHOWAWCZY W PRUDNIKU";"ul. Młyńska";"1 ";" ";"48-200 ";Prudnik;13132;0965878;"1610044""";"0774363530 ";"0774363530 ";zss_prudnik@wodip.opole.pl;www.zss_prudnik.wodip.opole.pl;OPOLSKIE;prudnicki;"Prudnik - miasto";"160272065 ";" ";publiczna;;;"Eugeniusz Kurpiel";"POWIAT PRUDNICKI";"Powiat ziemski";OPOLSKIE;prudnicki;Prudnik
3858;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ ROLNICZYCH W PRUDNIKU";"ul. Kościuszki";"76 ";" ";"48-200 ";Prudnik;09572;0965878;"1610044""";"0774362995 ";"0774362995 ";zsr_prudnik@wodip.opole.pl;www.zsr_prudnik.wodip.opole.pl;OPOLSKIE;prudnicki;"Prudnik - miasto";"000098832 ";" ";publiczna;;;"Sławomir Hajdecki";"POWIAT PRUDNICKI";"Powiat ziemski";OPOLSKIE;prudnicki;Prudnik
