"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2892;Gimnazjum;"SPOŁECZNE GIMNAZJUM W OPACIU";;"b/n ";" ";"38-211 ";Opacie;;0352986;"1805042""";" ";" ";spo2012@interia.pl;;PODKARPACKIE;jasielski;"Jasło - gmina wiejska";"180873642 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Bogusława Ochońska";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3184;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ,,WESOŁE SKRZATY""";;"160 ";" ";"39-200 ";Pustynia;;0818700;"1803042""";"146969922 ";" ";;;PODKARPACKIE;dębicki;"Dębica - gmina wiejska";"180876037 ";"8720002391 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Marcin Nowak";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3204;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. J. KOCHANOWSKIEGO";;"87 ";" ";"38-471 ";"Łęki Strzyżowskie";;0362022;"1807092""";"134385064 ";" ";spjkochanowski@poczta.onet.pl;;PODKARPACKIE;krośnieński;"Wojaszówka - gmina wiejska";"001213710 ";"6842205740 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Renata Grząsiak";"GMINA WOJASZÓWKA";Gmina;PODKARPACKIE;krośnieński;Wojaszówka
3208;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. BOHATERÓW MONTE CASSINO";;"1 ";" ";"38-406 ";Ustrobna;;0362401;"1807092""";"134311624 ";" ";spu.ustrobna@interia.pl;;PODKARPACKIE;krośnieński;"Wojaszówka - gmina wiejska";"370492918 ";"6842205763 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Zuzanna Paluch";"GMINA WOJASZÓWKA";Gmina;PODKARPACKIE;krośnieński;Wojaszówka
3211;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. K. TRYBUSA";;"48 ";" ";"38-471 ";Wojaszówka;;0362507;"1807092""";"134385009 ";" ";szpowoj@interia.pl;;PODKARPACKIE;krośnieński;"Wojaszówka - gmina wiejska";"370492924 ";"6842205757 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Górska";"GMINA WOJASZÓWKA";Gmina;PODKARPACKIE;krośnieński;Wojaszówka
3337;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ W BOJANOWIE";"ul. Parkowa";"11 ";" ";"37-433 ";Bojanów;15710;0788778;"1818022""";"158708519 ";" ";;;PODKARPACKIE;stalowowolski;"Bojanów - gmina wiejska";"180876379 ";" ";publiczna;;;"Zbigniew Glica";"GMINA BOJANÓW";Gmina;PODKARPACKIE;stalowowolski;Bojanów
3405;Przedszkole;"PRZEDSZKOLE SIÓSTR MIŁOSIERDZIA  IM. MATKI BOŻEJ OD CUDOWNEGO MEDALIKA W RYMANOWIE ZDROJU";"ul. PCK";"1 ";" ";"38-481 ";Rymanów-Zdrój;15905;0358990;"1807085""";"0134357417 ";" ";;;PODKARPACKIE;krośnieński;"Rymanów - obszar wiejski";"180876592 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Barbara Gołąb";"ZGROMADZENIE SIÓSTR MIŁOSIERDZIA ŚW. WINCENTEGO A PAULO DOM ZAKONNY W RYMANOWIE ZDROJU";"Organizacje Wyznaniowe";PODKARPACKIE;krośnieński;Rymanów
3477;"Liceum ogólnokształcące";"KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. JANA PAWŁA II";"ul. Jasińskiego";"23 ";" ";"39-400 ";Tarnobrzeg;07318;0980085;"1864011""";"506024430 ";"158237554 ";klotbg@gmail.com;www.katolik.tarnobrzeg.pl;PODKARPACKIE;Tarnobrzeg;"Tarnobrzeg - gmina miejska";"180876758 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Piotr Malik";"PARAFIA RZYMSKO-KATOLICKA
P/W MATKI BOŻEJ NIEUSTAJĄCEJ POMOCY W TARNOBRZEGU";"Organizacje Wyznaniowe";PODKARPACKIE;Tarnobrzeg;Tarnobrzeg
3654;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W WADOWICACH GÓRNYCH";;"111 ";" ";"39-308 ";"Wadowice Górne";;0835101;"1811102""";"146669551 ";" ";;;PODKARPACKIE;mielecki;"Wadowice Górne - gmina wiejska";"180877203 ";"8172172760 ";publiczna;;;"Danuta Żelazko";"GMINA WADOWICE GÓRNE";Gmina;PODKARPACKIE;mielecki;"Wadowice Górne"
3677;Przedszkole;"PRZEDSZKOLE W ŻOŁYNI";"ul. Białobrzeska";"230A ";" ";"37-110 ";Żołynia;01173;0667750;"1810072""";" ";" ";przedszkole.zolynia@poczta.fm;;PODKARPACKIE;łańcucki;"Żołynia - gmina wiejska";"690042403 ";"8151206117 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Dołęga";"GMINA ŻOŁYNIA";Gmina;PODKARPACKIE;łańcucki;Żołynia
3692;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA W RUSZELCZYCACH";;"b.n. ";" ";"37-755 ";Ruszelczyce;;0605246;"1813052""";"166711487 ";" ";spruszelczyce@op.pl;;PODKARPACKIE;przemyski;"Krzywcza - gmina wiejska";"180877166 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Halina Piela-Sobol";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3693;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA W MOSTKACH-SOKALACH";;"48 ";" ";"37-405 ";Mostki;;0795070;"1812022""";"158713142 ";" ";psp_mostki@op.pl;;PODKARPACKIE;niżański;"Jarocin - gmina wiejska";"180877261 ";"8651556352 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Barbara Szabat";"STOWARZYSZENIE PRZYJACIÓŁ PAŃSTWA JAROCIN";Stowarzyszenia;PODKARPACKIE;niżański;Jarocin
3750;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA W DOMOSTAWIE";;"79 ";" ";"37-405 ";Domostawa;;0794780;"1812022""";"158713709 ";" ";sp_domostawa@op.pl;;PODKARPACKIE;niżański;"Jarocin - gmina wiejska";"001187288 ";"8651554577 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"EWA SZWEDO";"GMINA JAROCIN";Gmina;PODKARPACKIE;niżański;Jarocin
3754;"Szkoła podstawowa";"PUBLICZNA SZKOŁA PODSTAWOWA W SZYPERKACH";;"59B ";" ";"37-405 ";Szyperki;;0795235;"1812022""";"158713135 ";" ";psp_szyperki@op.pl;;PODKARPACKIE;niżański;"Jarocin - gmina wiejska";"001187325 ";"8651555051 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Krystyna Grząśko";"GMINA JAROCIN";Gmina;PODKARPACKIE;niżański;Jarocin
