"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2919;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 1 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ŚWIĘTEGO JANA PAWŁA II W ŁAPACH";"ul. Polna";"9 ";" ";"18-100 ";Łapy;17011;0923271;"2002064""";"857152419 ";"857152419 ";sp1.sekretariat@wp.pl;www.sp1.lapy.podlasie.pl;PODLASKIE;białostocki;"Łapy - miasto";"000734481 ";"9660592922 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Daniel Gołaszewski";"GMINA ŁAPY";Gmina;PODLASKIE;białostocki;Łapy
2938;"Liceum ogólnokształcące";"I LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI W BIELSKU PODLASKIM";"ul. Listopada";"6 ";" ";"17-100 ";"Bielsk Podlaski";11205;0922685;"2003011""";"858332673 ";"858332673 ";1lo_bielsk_podlaski@wp.pl;www.1lobielskpodlaski.za.pl;PODLASKIE;bielski;"Bielsk Podlaski - gmina miejska";"000735055 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marzena Pogorzelska-Ciołek";"POWIAT BIELSKI";"Powiat ziemski";PODLASKIE;bielski;"Bielsk Podlaski"
2987;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁUBINIE KOŚCIELNYM";;"40 ";" ";"17-100 ";"Łubin Kościelny";;0023610;"2003032""";"857310924 ";"857310924 ";lubink@neostrada.pl;splubink.edupage.org;PODLASKIE;bielski;"Bielsk Podlaski - gmina wiejska";"001163589 ";"5431864311 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jerzy Stanisław Zimnoch";"GMINA BIELSK PODLASKI";Gmina;PODLASKIE;bielski;"Bielsk Podlaski"
3078;"Zespół szkół i placówek oświatowych";"MŁODZIEŻOWE CENTRUM EDUKACJI I READAPTACJI SPOŁECZNEJ W GONIĄDZU";"pl. Listopada";"37 ";" ";"19-110 ";Goniądz;11202;0957360;"2008014""";"857380023 ";" ";;;PODLASKIE;moniecki;"Goniądz - miasto";"200716784 ";" ";publiczna;;;"Sławomir Moczydłowski";"POWIAT MONIECKI";"Powiat ziemski";PODLASKIE;moniecki;Mońki
3842;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ NR 1 IM MARSZAŁKA JÓZEFA KLEMENSA PIŁSUDSKIEGO W BIELSKU PODLASKIM";"ul. Szkolna";"12 ";" ";"17-100 ";"Bielsk Podlaski";21970;0922685;"2003011""";"858332698 ";"858332698 ";zsbielsk@webmedia.pl;www.zs1bielsk.ehost.pl;PODLASKIE;bielski;"Bielsk Podlaski - gmina miejska";"000180746 ";"5431021251 ";publiczna;;;"Romuald Margański";"POWIAT BIELSKI";"Powiat ziemski";PODLASKIE;bielski;"Bielsk Podlaski"
3902;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W DĄBROWIE WIELKIEJ";;"19 ";" ";"18-220 ";"Dąbrowa Wielka";;0396127;"2013035""";"862756207 ";" ";spdabrowa@op.pl;;PODLASKIE;wysokomazowiecki;"Czyżew - obszar wiejski";"001119039 ";"7221381004 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Lech Krajewski";"GMINA CZYŻEW";Gmina;PODLASKIE;wysokomazowiecki;Czyżew
3910;Przedszkole;"GMINNE PRZEDSZKOLE W CZYŻEWIE";"ul. Mazowiecka";"34 ";" ";"18-220 ";Czyżew;12540;0395984;"2013034""";"862755028 ";" ";;;PODLASKIE;wysokomazowiecki;"Czyżew - miasto";"450010079 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Krystosiak";"GMINA CZYŻEW";Gmina;PODLASKIE;wysokomazowiecki;Czyżew
3998;"Placówka doskonalenia nauczycieli";"SUWALSKI OŚRODEK DOSKONALENIA NAUCZYCIELI W SUWAŁKACH";"ul. Noniewicza";"83 ";" ";"16-400 ";Suwałki;14307;0977456;"2063011""";"875663646 ";" ";sodn@sodn.suwalki.pl;www.sodn.suwalki.pl;PODLASKIE;Suwałki;"Suwałki - gmina miejska";"200022024 ";" ";publiczna;;;"Wioletta Cieślukowska";"SUWAŁKI - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";PODLASKIE;Suwałki;Suwałki
4005;"Punkt przedszkolny";"OŚRODEK WYCHOWANIA PRZEDSZKOLNEGO ROSOCHATEK";"ul. Mazowiecka";"5 ";" ";"18-220 ";"Rosochate Kościelne";12540;0396357;"2013035""";"862756002 ";" ";;;PODLASKIE;wysokomazowiecki;"Czyżew - obszar wiejski";"200718040 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Bogusława Kossakowska";"GMINA CZYŻEW";Gmina;PODLASKIE;wysokomazowiecki;Czyżew
4028;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W WIERZBOWIE";;"72 ";" ";"19-200 ";Wierzbowo;;0397859;"2004022""";"862738569 ";" ";spwierzbowo@op.pl;www.gminagrajewo.pl;PODLASKIE;grajewski;"Grajewo - gmina wiejska";"000719642 ";"7191396856 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Samaszko";"GMINA GRAJEWO";Gmina;PODLASKIE;grajewski;Grajewo
4029;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA POMNIK 1000-LECIA PAŃSTWA POLSKIEGO IM. MARII KONOPNICKIEJ W BIAŁASZEWIE";"ul. Kopernika";"2 ";" ";"19-200 ";Białaszewo;09282;0397351;"2004022""";"862732113 ";" ";sp.bialaszewo@op.pl;www.gminagrajewo.pl;PODLASKIE;grajewski;"Grajewo - gmina wiejska";"000586678 ";"7191396916 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Andrzej Szklarzewski";"GMINA GRAJEWO";Gmina;PODLASKIE;grajewski;Grajewo
4030;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W DANÓWKU";;"7 ";" ";"19-200 ";Danówek;;0397463;"2004022""";"862723109 ";" ";danowek@poczta.onet.pl;www.gminagrajewo.pl;PODLASKIE;grajewski;"Grajewo - gmina wiejska";"000719636 ";"7191396885 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Henryk Chrzanowski";"GMINA GRAJEWO";Gmina;PODLASKIE;grajewski;Grajewo
4031;Gimnazjum;"GIMNAZJUM IM. PROF. ADAMA PAŁCZYŃSKIEGO W DANÓWKU";;"7 ";" ";"19-200 ";Danówek;;0397463;"2004022""";"862723109 ";" ";danowek@poczta.onet.pl;www.gminagrajewo.pl;PODLASKIE;grajewski;"Grajewo - gmina wiejska";"450723158 ";"7191415424 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Surażyńska";"GMINA GRAJEWO";Gmina;PODLASKIE;grajewski;Grajewo
4039;Gimnazjum;"GIMNAZJUM NIEPUBLICZNE NR 2 W SUWAŁKACH";"ul. Kościuszki";"58 ";" ";"16-400 ";Suwałki;09582;0977456;"2063011""";"875663937 ";"875663937 ";parafia-nspj@o2.pl;;PODLASKIE;Suwałki;"Suwałki - gmina miejska";"200718079 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Osowska";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
4101;"Zespół szkół i placówek oświatowych";"ŁOMŻYŃSKIE CENTRUM ROZWOJU EDUKACJI W ŁOMŻY";"ul. Polna";"16 ";" ";"18-400 ";Łomża;17011;0957241;"2062011""";"862180544 ";" ";;;PODLASKIE;Łomża;"Łomża - gmina miejska";"200718240 ";" ";publiczna;;;"Wojciech Kowalik";"ŁOMŻA - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";PODLASKIE;Łomża;Łomża
