"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2893;"Szkoła podstawowa";"SPOŁECZNA SZKOŁA PODSTAWOWA NR 1";"ul. Obrońców Wybrzeża";"1 ";" ";"84-200 ";Wejherowo;14663;0934984;"2215031""";"586725544 ";"586725544 ";spolwejherowo@wp.pl;spolecznawejherowo.pl;POMORSKIE;wejherowski;"Wejherowo - gmina miejska";"221718210 ";"5881008173 ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Danuta Ornal";"STOWARZYSZENIE OŚWIATOWE";Stowarzyszenia;POMORSKIE;wejherowski;Wejherowo
2917;Technikum;"TECHNIKUM NR 2 W CHOJNICACH";"ul. Dworcowa";"1 ";" ";"89-620 ";Chojnice;04434;0928854;"2202011""";"523974940 ";" ";;;POMORSKIE;chojnicki;"Chojnice - gmina miejska";"771601892 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Kamil Trzebiatowski";"POWIAT CHOJNICKI";"Powiat ziemski";POMORSKIE;chojnicki;Chojnice
3368;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE KRASNOLUDKI";"ul. Kasztanowa";"6 ";" ";"84-100 ";Żelistrzewo;08171;0170860;"2211072""";"784356572 ";" ";przedszkolekrasnoludki2012@interia.pl;www.przedszkolekrasnoludki.pl;POMORSKIE;pucki;"Puck - gmina wiejska";"221722914 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Aleksandra Barzowska";"KAROLINA ROHDE- WIŚNIEWSKA";"Osoba fizyczna";POMORSKIE;pucki;Puck
3463;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCACYCH NR 2";"ul. Wolności";"22b ";" ";"81-327 ";Gdynia;24687;0934100;"2262011""";"620-17-50 ";" ";lo2gdy44@wp.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"190454073 ";"5861788624 ";publiczna;;;"Elżbieta Zaręba";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
3502;Przedszkole;"PRZEDSZKOLE NR 48 ""MORSKA PRZYGODA""";"ul. Unruga";"86 ";" ";"81-181 ";Gdynia;38484;0934100;"2262011""";"586254638 ";" ";ps48gdynia@wp.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"221144021 ";"9580033617 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Alicja Smolik";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
3503;Przedszkole;"PRZEDSZKOLE NR 26  BAJKOWA KRAINA";"ul. Starogardzka";"10 ";" ";"81-050 ";Gdynia;20935;0934100;"2262011""";"586230943 ";" ";przedszkole26gdynia@poczta.onet.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"221143346 ";"9580033592 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Gabriela Karasiewicz";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
3504;Przedszkole;"PRZEDSZKOLE NR 52";"ul. Krasickiego";"4 ";" ";"81-377 ";Gdynia;09830;0934100;"2262011""";"586613262 ";" ";przedszkole52@o2.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"221143910 ";"5862136728 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Hanna Nowak";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
3507;Przedszkole;"PRZEDSZKOLE NR 42 POD MODRZEWIEM";"ul. Dąbka";"199a ";" ";"81-155 ";Gdynia;03654;0934100;"2262011""";"586250896 ";" ";p42gdynia@wp.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"221141347 ";"9580973208 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Magdalena Nowakowska";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
3508;Przedszkole;"PRZEDSZKOLE NR 4";"ul. Tatrzańska";"18 ";" ";"81-313 ";Gdynia;22717;0934100;"2262011""";"586216399 ";"6216399 ";psnr4@poczta.gdynia.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"221142217 ";"5861125390 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Wasińczuk";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
3509;Przedszkole;"PRZEDSZKOLE NR 21";"ul. Demptowska";"42 ";" ";"81-094 ";Gdynia;03755;0934100;"2262011""";"586238928 ";"586238928 ";demptowo21@wp.pl;;POMORSKIE;Gdynia;"Gdynia - gmina miejska";"221143091 ";"9580035705 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Joanna Lis";"GDYNIA-MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";POMORSKIE;Gdynia;Gdynia
