"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2884;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁACĄCE IM. PROF. ZBIGNIEWA RELIGI";"ul. Korfantego";"38 ";" ";"43-227 ";Gilowice;09357;0216987;"2410032""";"322117321 ";"322117321 ";logilowice@poczta.onet.pl;www.logilowice.hekko.pl;ŚLĄSKIE;pszczyński;"Miedźna - gmina wiejska";"272633310 ";"6381775757 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Barbara Foltyn";"GMINA MIEDŹNA";Gmina;ŚLĄSKIE;pszczyński;Miedźna
2890;"Szkoła podstawowa";"SPOŁECZNA SZKOŁA PODSTAWOWA IM. 8 PUŁKU UŁANÓW KS. JÓZEFA PONIATOWSKIEGO";"ul. Śląska";"86 ";" ";"42-445 ";Szczekociny;22308;0932413;"2416084""";"343140104 ";"343140104 ";ssp1szczeko@wp.pl;;ŚLĄSKIE;zawierciański;"Szczekociny - miasto";"243002479 ";"6492297657 ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Alicja Koper";"STOWARZYSZENIE NA RZECZ ROZWOJU EDUKACJI W SZCZEKOCINACH ""NASZA SZKOŁA""";Stowarzyszenia;ŚLĄSKIE;zawierciański;Szczekociny
2930;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 5 „TĘCZA” W GLIWICACH";"ul. Kozielska";"73 ";" ";"44-121 ";Gliwice;09714;0940000;"2466011""";"322383955 ";" ";sekretariat@zsp5.gliwice.eu;;ŚLĄSKIE;Gliwice;"Gliwice - gmina miejska";"241786040 ";"6312623441 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GLIWICE - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚLĄSKIE;Gliwice;Gliwice
2957;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 18 W GLIWICACH";"ul. Brzozowa";"50 ";" ";"44-100 ";Gliwice;02276;0940000;"2466011""";"322703784 ";"322703784 ";sekretariat@pm18.gliwice.eu;www.przedszkole.gliwice.pl;ŚLĄSKIE;Gliwice;"Gliwice - gmina miejska";"241789943 ";"6312623926 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Bożena Kobierska";"GLIWICE - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚLĄSKIE;Gliwice;Gliwice
2969;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 7 W GLIWICACH";"ul. Tarnogórska";"107 ";" ";"44-102 ";Gliwice;22677;0940000;"2466011""";"322701592 ";" ";sekretariat@zsp12.gliwice.eu;;ŚLĄSKIE;Gliwice;"Gliwice - gmina miejska";"241786034 ";"6312623949 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GLIWICE - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚLĄSKIE;Gliwice;Gliwice
2973;Przedszkole;"PRZEDSZKOLE MIEJSKIE Z ODDZIAŁAMI INTEGRACYJNYMI NR 28 W GLIWICACH";"ul. Paderewskiego";"70 ";" ";"44-105 ";Gliwice;15529;0940000;"2466011""";"322794384 ";" ";sekretariat@zsp4.gliwice.eu;;ŚLĄSKIE;Gliwice;"Gliwice - gmina miejska";"241792170 ";"9691584579 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GLIWICE - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚLĄSKIE;Gliwice;Gliwice
2986;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 36 W GLIWICACH";"ul. Sztabu Powstańczego";"56c ";" ";"44-102 ";Gliwice;22099;0940000;"2466011""";"322791811 ";" ";sekretariat@zsp10.gliwice.eu;;ŚLĄSKIE;Gliwice;"Gliwice - gmina miejska";"241784644 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";" ";"GLIWICE - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚLĄSKIE;Gliwice;Gliwice
3039;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 1 IM. WOJSKA POLSKIEGO W ŻYWCU";"ul. Słonki";"14 ";" ";"34-300 ";Żywiec;30109;0927642;"2417011""";"338612045 ";" ";;;ŚLĄSKIE;żywiecki;"Żywiec - gmina miejska";"070397402 ";"5532125236 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Kapała";"MIASTO ŻYWIEC";Gmina;ŚLĄSKIE;żywiecki;Żywiec
3043;"Zespół szkół i placówek oświatowych";"ZESPÓŁ PORADNI PSYCHOLOGICZNO-PEDAGOGICZNYCH W CIESZYNIE";"pl. Wolności";"6 ";" ";"43-400 ";Cieszyn;24685;0924158;"2403011""";"0338522433 ";" ";;;ŚLĄSKIE;cieszyński;"Cieszyn - gmina miejska";"243007123 ";" ";publiczna;;;"Jadwiga Miękina-Pindur";"POWIAT CIESZYŃSKI";"Powiat ziemski";ŚLĄSKIE;cieszyński;Cieszyn
3046;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA W CIĄGOWICACH";"ul. Zwycięstwa";"72 ";" ";"42-450 ";Ciągowice;26326;0216622;"2416055""";"326729347 ";"326729954 ";sp.ciagowice@lazy.pl;;ŚLĄSKIE;zawierciański;"Łazy - obszar wiejski";"243007070 ";"6492297692 ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA JANUS";"PRZYJAZNA SZKOŁA W CIĄGOWICACH";Stowarzyszenia;ŚLĄSKIE;zawierciański;Łazy
3059;"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. MARII KONOPNICKIEJ W SOBORZYCACH";"pl. Plac Wolności";"4 ";" ";"42-265 ";Soborzyce;16414;0130978;"2404022""";"343555102 ";" ";nspsoborzyce@interia.pl;;ŚLĄSKIE;częstochowski;"Dąbrowa Zielona - gmina wiejska";"243007241 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"EWELINA BIŃCZYK";"STOWARZYSZENIE NA RZECZ ROZWOJU WSI SOBORZYCE";Stowarzyszenia;ŚLĄSKIE;częstochowski;"Dąbrowa Zielona"
3161;"Placówka doskonalenia nauczycieli";"GLIWICKI OŚRODEK METODYCZNY";"ul. Okrzei";"20 ";" ";"44-100 ";Gliwice;14914;0940000;"2466011""";"32-302-19-90 ";"32-302-19-91 ";sekretariat@gom.gliwice.pl;www.gom.gliwice.pl;ŚLĄSKIE;Gliwice;"Gliwice - gmina miejska";"277876654 ";"6312354314 ";publiczna;;;"Jacek Tarkota";"GLIWICE - MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚLĄSKIE;Gliwice;Gliwice
