"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2883;"Liceum ogólnokształcące";"I LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA KOŚCIUSZKI W BUSKU-ZDROJU";"ul. Mickiewicza";"13 ";" ";"28-100 ";Busko-Zdrój;12740;0946651;"2601014""";"41-378-36-53 ";"41-378-36-53 ";lobusko@poczta.onet.pl;www.lobusko.pl;ŚWIĘTOKRZYSKIE;buski;"Busko-Zdrój - miasto";"292858050 ";"6551295448 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Tomasz Galant";"POWIAT BUSKI";"Powiat ziemski";ŚWIĘTOKRZYSKIE;buski;Busko-Zdrój
2922;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 1";"ul. Norwida";"5 ";" ";"25-410 ";Kielce;14319;0945930;"2661011""";"413676506 ";" ";ps1kielce@op.pl;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015360 ";"6572368230 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Kędzierska";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2923;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 2";"ul. Sowia";"1b ";" ";"25-648 ";Kielce;20615;0945930;"2661011""";"413676046 ";" ";psnr2@op.pl;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015376 ";"9591440438 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Dorota Pacak";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2924;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 3";"ul. Barwinek";"33 ";" ";"25-159 ";Kielce;29257;0945930;"2661011""";"413676780 ";" ";przedszkolenr3@onet.pl;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290669273 ";"6572368218 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"DOROTA SKALSKA";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2925;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 4";"ul. Kujawska";"21 ";" ";"25-342 ";Kielce;10344;0945930;"2661011""";"413676048 ";" ";ps4.kielce@op.pl;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"000253994 ";"6572368247 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Beata Balińska";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2926;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 5";"ul. Nowaka Jeziorańskiego";"67 ";" ";"25-430 ";Kielce;37581;0945930;"2661011""";"413676049 ";" ";psnr5@poczta.onet.pl;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015867 ";"6572368253 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Sikora";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2927;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 6";"ul. Bukowa";"8 ";" ";"25-542 ";Kielce;02387;0945930;"2661011""";"413676787 ";" ";przedszkole@ps6.kielce.eu;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015399 ";"9591444867 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Wiesława Sękowska";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2929;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 9";"ul. Orkana";"32 ";" ";"25-547 ";Kielce;15140;0945930;"2661011""";"413676054 ";" ";psnr9@tlen.pl;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015844 ";"9591440243 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"JOANNA STRÓJWĄS";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2931;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 14";"ul. Kalcytowa";"15 ";" ";"25-705 ";Kielce;07787;0945930;"2661011""";"413676768 ";"413676768 ";ps14kielce@interia.eu;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015465 ";"9591440272 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Grażyna Gromiec";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
2932;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE NR 16";"ul. Nowy Świat";"34 ";" ";"25-522 ";Kielce;14535;0945930;"2661011""";"413676056 ";" ";psnr16kielce@gmail.com;;ŚWIĘTOKRZYSKIE;Kielce;"Kielce - gmina miejska";"290015488 ";"9591440295 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"JOLANTA KOŁBUS";"KIELCE MIASTO NA PRAWACH POWIATU";"Miasto na prawach powiatu";ŚWIĘTOKRZYSKIE;Kielce;Kielce
