"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2869;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 37 W OLSZTYNIE";"ul. Pana Tadeusza";"12A ";" ";"10-461 ";Olsztyn;15611;0964465;"2862011""";"895337474 ";"895337474 ";pm37@tlen.pl;www.pm37ols.ovh.org;WARMIŃSKO-MAZURSKIE;Olsztyn;"Olsztyn - gmina miejska";"510015171 ";"7393077918 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Danuta Podhorodecka";"GMINA OLSZTYN";"Miasto na prawach powiatu";WARMIŃSKO-MAZURSKIE;Olsztyn;Olsztyn
2881;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ""KUBUŚ PUCHATEK""";"ul. Kołłątaja";"16 ";" ";"14-500 ";Braniewo;09000;0932710;"2802011""";"556200254 ";" ";puchatek2013@wp.pl;www.puchatekbraniewo.pl;WARMIŃSKO-MAZURSKIE;braniewski;"Braniewo - gmina miejska";"281416151 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Sylwia Pawlukowska";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3102;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 4 W GIŻYCKU";"ul. Jagiełły";"3 ";" ";"11-500 ";Giżycko;07040;0977692;"2806011""";"874289838 ";"874289838 ";pm4@gizycko.pl;www.pm4.gizycko.pl;WARMIŃSKO-MAZURSKIE;giżycki;"Giżycko - gmina miejska";"510975942 ";"8451971431 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Paftel";"MIASTO GIŻYCKO";Gmina;WARMIŃSKO-MAZURSKIE;giżycki;Giżycko
3195;Przedszkole;"PRZEDSZKOLE KRASNAL";"ul. Kolejowa";"10 ";" ";"11-500 ";Giżycko;08828;0977692;"2806011""";"874282224 ";" ";krasnalgizycko@wp.pl;;WARMIŃSKO-MAZURSKIE;giżycki;"Giżycko - gmina miejska";"281418894 ";"8451197500 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Palczewska";"DANE DO UZUPEŁNIENIA";"Spółki Handlowe";MAZOWIECKIE;Warszawa;Śródmieście
3221;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ""KORALIK""";"ul. Daszyńskiego";"14 ";" ";"11-500 ";Giżycko;03635;0977692;"2806011""";"877327908 ";"877327908 ";ania@pwsz.net;www.koralikgizycko.pl;WARMIŃSKO-MAZURSKIE;giżycki;"Giżycko - gmina miejska";"281418888 ";"8451031113 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Karolska";"KORAL SPÓŁKA Z  O. O.";"Przedsiębiorstwa Osób Fizycznych";PODLASKIE;Łomża;Łomża
3309;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 4 IM. I DYWIZJI PIECHOTY W GIŻYCKU";"ul. Maja";"21 ";" ";"11-500 ";Giżycko;11937;0977692;"2806011""";"874283668 ";"874283668 ";sp4@gizycko.pl;www.sp4.gizycko.pl;WARMIŃSKO-MAZURSKIE;giżycki;"Giżycko - gmina miejska";"000720177 ";"8451056685 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Jolanta Stańczuk";"MIASTO GIŻYCKO";Gmina;WARMIŃSKO-MAZURSKIE;giżycki;Giżycko
3431;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 1 W GIŻYCKU";"ul. Gimnazjalna";"1 ";" ";"11-500 ";Giżycko;05527;0977692;"2806011""";"874286441 ";" ";sp1@gizycko.pl;www.sp1.gizycko.pl;WARMIŃSKO-MAZURSKIE;giżycki;"Giżycko - gmina miejska";"001008245 ";"8451062119 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marina Rudis-Rodak";"MIASTO GIŻYCKO";Gmina;WARMIŃSKO-MAZURSKIE;giżycki;Giżycko
3499;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W KOWALACH OLECKICH";"ul. Witosa";"6 ";" ";"19-420 ";"Kowale Oleckie";24454;0760432;"2813032""";"875238239 ";"875238239 ";spkowaleoleckie@wp.pl;www.spkowaleoleckie.pl;WARMIŃSKO-MAZURSKIE;olecki;"Kowale Oleckie - gmina wiejska";"000265187 ";"8471449376 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Kucharzewska";"GMINA KOWALE OLECKIE";Gmina;WARMIŃSKO-MAZURSKIE;olecki;"Kowale Oleckie"
3522;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 1 Z ODDZIAŁEM INTEGRACYJNYM";"ul. Drzymały";"9 ";" ";"11-500 ";Giżycko;04314;0977692;"2806011""";"874283397 ";"874283397 ";pm1@gizycko.pl;www.pm1.gizycko.pl;WARMIŃSKO-MAZURSKIE;giżycki;"Giżycko - gmina miejska";"510975920 ";"8451971448 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Pająk";"MIASTO GIŻYCKO";Gmina;WARMIŃSKO-MAZURSKIE;giżycki;Giżycko
3523;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W STOŻNEM";;"6 ";" ";"19-420 ";Stożne;;0760521;"2813032""";"875238679 ";"875238679 ";spstozne@kowale.fr.pl;www.spstozne.edl.pl;WARMIŃSKO-MAZURSKIE;olecki;"Kowale Oleckie - gmina wiejska";"001164755 ";"8471449293 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Alina Kołpak";"GMINA KOWALE OLECKIE";Gmina;WARMIŃSKO-MAZURSKIE;olecki;"Kowale Oleckie"
