"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2875;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE ""KAJTEK"" W NIECHANOWIE";"ul. Ogrodowa";"4 ";" ";"62-220 ";Niechanowo;14834;0590591;"3003082""";"614272026 ";" ";kajtek.niechanowo@wp.pl;;WIELKOPOLSKIE;gnieźnieński;"Niechanowo - gmina wiejska";"634171297 ";"7842473145 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Aleksandra Borakiewicz";"GMINA NIECHANOWO";Gmina;WIELKOPOLSKIE;gnieźnieński;Niechanowo
2895;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 1";"ul. Witaszka";"4 ";" ";"64-920 ";Piła;24423;0966530;"3019011""";"672123215 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301412793 ";"7642638073 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Alicja Smarz";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2896;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 2";"ul. Roosevelta";"38A ";" ";"64-920 ";Piła;18854;0966530;"3019011""";"672124077 ";"672124077 ";pp2.pila@interia.pl;przedszkole2.pila.pl;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301411641 ";"7642638110 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA GAWEŁ";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2897;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 3";"ul. Pola";"16 ";" ";"64-920 ";Piła;16961;0966530;"3019011""";"672120235 ";"672120235 ";przedszkole03pila@gmail.com;przedszkole3pila.pl;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301408018 ";"7642638831 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ALDONA WINNICKA";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2898;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 4";"ul. Kusocińskiego";"10A ";" ";"64-920 ";Piła;10491;0966530;"3019011""";"672123482 ";"672123482 ";przedszkolepila4@wp.pl;pp4pila.przedszkole.pl;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301430390 ";"7642638825 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Janina Wołot";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2899;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 5";"ul. Konopnickiej";"7 ";" ";"64-920 ";Piła;09186;0966530;"3019011""";"672123277 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301412818 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Anna Pisarska";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2900;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 6 IM. JASIA I MAŁGOSI";"ul. Żeleńskiego";"15 ";" ";"64-920 ";Piła;37815;0966530;"3019011""";"672126605 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301406611 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzata Pawlak";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2904;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 8";"ul. Spacerowa";"23 ";" ";"64-920 ";Piła;20641;0966530;"3019011""";"673490817 ";"673490817 ";pp-8@wp.pl;www.przedszkole8.pila.pl;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301406143 ";"7642637990 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Bogna Oleszak";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2905;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 11";"ul. Bosko";"2 ";" ";"64-920 ";Piła;01915;0966530;"3019011""";"673517665 ";"673517665 ";przedszkole.11.pila@interia.pl;http://pp11.przedszkola.net.pl/;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301406605 ";"7642637636 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Ratajczyk";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2906;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 12";"ul. Reja";"11 ";" ";"64-920 ";Piła;18562;0966530;"3019011""";"672132774 ";"672132774 ";przed12pila@gmail.com;www.przedszkole12pila.pl;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301407711 ";"7642637613 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Barbara Miszczak";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2907;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 13";"ul. Kraszewskiego";"2 ";" ";"64-920 ";Piła;09869;0966530;"3019011""";"672122880 ";" ";;http://www.przedszkole13.pila.pl/;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301407680 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Krystyna Żelazna-Wójcik";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2908;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 14 IM. WRÓBELKA ELEMELKA";"ul. Brzechwy";"10 ";" ";"64-920 ";Piła;02225;0966530;"3019011""";"672124053 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301411902 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Marlena Drozdowska";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2909;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 15";"ul. Grabowa";"20 ";" ";"64-920 ";Piła;06029;0966530;"3019011""";"672124278 ";"672124278 ";przedszkole15.pila@wp.pl;pp15.pila.pl;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301409288 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Izablla Narloch";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2910;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 16 IM. CZERWONEGO KAPTURKA";"al. Powstańców Wielkopolskich";"86A ";" ";"64-920 ";Piła;17373;0966530;"3019011""";"672124662 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301414190 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Iwona Gałecka";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2911;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 18 IM. KUBUSIA PUCHATKA";"ul. Trentowskiego";"3 ";" ";"64-920 ";Piła;37834;0966530;"3019011""";"672132749 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301407697 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Bukowiecka-Górny";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2912;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 19 IM. MISIA USZATKA";"ul. Jadwigi";"20 ";" ";"64-920 ";Piła;10003;0966530;"3019011""";"672141685 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301414183 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Hanna Smolarz";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
2914;Przedszkole;"PUBLICZNE PRZEDSZKOLE NR 17 IM. KRASNALA HAŁABAŁY";"ul. Śniadeckich";"3A ";" ";"64-920 ";Piła;22382;0966530;"3019011""";"672141196 ";" ";;;WIELKOPOLSKIE;pilski;"Piła - gmina miejska";"301414160 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Bożena Robak";"GMINA PIŁA";Gmina;WIELKOPOLSKIE;pilski;Piła
