"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego"
2882;Technikum;"TECHNIKUM ROLNICZE CENTRUM EDUKACYJNEGO TALENT-PROMOCJA-POSTĘP W GRYFICACH";"ul. Cukrownicza";"2 ";" ";"72-300 ";Gryfice;03137;0979053;"3205024""";"913846040 ";"913846040 ";cetpp@wp.pl;;ZACHODNIOPOMORSKIE;gryficki;"Gryfice - miasto";"321256811 ";" ";"niepubliczna o uprawnieniach szkoły publicznej";"Dzieci lub młodzież";"brak specyfiki";"Krzysztof Pilch";"ŻANETA BARTCZAK";"Osoba fizyczna";ZACHODNIOPOMORSKIE;gryficki;Gryfice
2918;Przedszkole;"PRZEDSZKOLE ""ZŁOTA RYBKA""";"ul. Kościuszki";"47 ";" ";"72-022 ";"Nowe Warpno";09572;0979308;"3211034""";"91-312-96-68 ";" ";;;ZACHODNIOPOMORSKIE;policki;"Nowe Warpno - miasto";"000262154 ";"8512772170 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ALICJA SZUMSKA";"GMINA NOWE WARPNO";Gmina;ZACHODNIOPOMORSKIE;policki;"Nowe Warpno"
3068;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W BĘDZINIE Z SIEDZIBĄ W ŁEKNIE";;"14 ";" ";"76-037 ";Łekno;;0302451;"3209012""";"943162421 ";"943162421 ";lekno_szkola@op.pl;http://www.splekno.witrynaszkolna.pl;ZACHODNIOPOMORSKIE;koszaliński;"Będzino - gmina wiejska";"000590591 ";"4990357682 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Bogdan Wojsa";"GMINA BĘDZINO";Gmina;ZACHODNIOPOMORSKIE;koszaliński;Będzino
3069;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA W DOBRZYCY";;"53 ";" ";"76-038 ";Dobrzyca;;0302362;"3209012""";"943160106 ";"943160106 ";spdobrzyca4@wp.pl;www.spdobrzyca4.superszkolna.pl;ZACHODNIOPOMORSKIE;koszaliński;"Będzino - gmina wiejska";"331451321 ";"4990449444 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Małgorzta Górzyńska";"GMINA BĘDZINO";Gmina;ZACHODNIOPOMORSKIE;koszaliński;Będzino
3070;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE W BĘDZINIE";;"31 ";" ";"76-037 ";Będzino;;0302273;"3209012""";"943162411 ";"943162411 ";psbedzino@wp.pl;www.przedszkolebedzino.nogard.pl;ZACHODNIOPOMORSKIE;koszaliński;"Będzino - gmina wiejska";"330916723 ";"4990357995 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Kudełko";"GMINA BĘDZINO";Gmina;ZACHODNIOPOMORSKIE;koszaliński;Będzino
3071;Przedszkole;"PRZEDSZKOLE SAMORZĄDOWE PROMYKI BAŁTYKU W MŚCICACH";"ul. Szkolna";"1B ";" ";"76-031 ";Mścice;21970;0302480;"3209012""";"943188340 ";" ";przedszkolemscice@o2.pl;;ZACHODNIOPOMORSKIE;koszaliński;"Będzino - gmina wiejska";"330916717 ";"4990356725 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Nozykowska";"GMINA BĘDZINO";Gmina;ZACHODNIOPOMORSKIE;koszaliński;Będzino
3099;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI W SZCZECINIE";"al. Wojska Polskiego";"119 ";" ";"70-490 ";Szczecin;24623;0977976;"3262011""";"914238677 ";"914238677 ";sekretariat@lozoi.szczecin.pl;www.lozoi.szczecin.pl;ZACHODNIOPOMORSKIE;Szczecin;"Szczecin - gmina miejska";"812533920 ";"8521834746 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ludwika Baranowska";"GMINA MIASTO SZCZECIN";"Miasto na prawach powiatu";ZACHODNIOPOMORSKIE;Szczecin;Szczecin
3236;Przedszkole;"PRZEDSZKOLE PUBLICZNE NR 59";"ul. Zofii";"3 ";" ";"71-665 ";Szczecin;26243;0977976;"3262011""";"914420072 ";"914420072 ";pp59@um.szczecin.pl;www.malyksiaze.szczecin.pl;ZACHODNIOPOMORSKIE;Szczecin;"Szczecin - gmina miejska";"320388752 ";"8513023921 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"BARBARA FROŁOW";"GMINA MIASTO SZCZECIN";"Miasto na prawach powiatu";ZACHODNIOPOMORSKIE;Szczecin;Szczecin
3241;Przedszkole;"PRZEDSZKOLE PUBLICZNE NR 61";"ul. Maciejowicka";"26 ";" ";"70-786 ";Szczecin;11846;0977976;"3262011""";"914629740 ";"914629740 ";pp61@miasto.szczecin.pl;www.przedszkole61.szczecin.pl;ZACHODNIOPOMORSKIE;Szczecin;"Szczecin - gmina miejska";"320385707 ";"9552208105 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Grażyna Rosołowska";"GMINA MIASTO SZCZECIN";"Miasto na prawach powiatu";ZACHODNIOPOMORSKIE;Szczecin;Szczecin
3310;"Młodzieżowy Ośrodek Wychowawczy";"MŁODZIEŻOWY OŚRODEK WYCHOWAWCZY W CZAPLINKU";"ul. Pławieńska";"4-6 ";" ";"78-550 ";Czaplinek;16498;0949810;"3203014""";" ";" ";mow.czaplinek@wp.pl;;ZACHODNIOPOMORSKIE;drawski;"Czaplinek - miasto";"321260528 ";"2530333259 ";publiczna;;;"Małgorzata Janda";"POWIAT DRAWSKI";"Powiat ziemski";ZACHODNIOPOMORSKIE;drawski;"Drawsko Pomorskie"
3311;Przedszkole;"PRZEDSZKOLE PUBLICZNE NR 5";"ul. Tomaszowska";"6 ";" ";"71-671 ";Szczecin;22856;0977976;"3262011""";"914421387 ";"914421387 ";pp5@um.szczecin.pl;www.szczecin.wix.com/pp5magnolia;ZACHODNIOPOMORSKIE;Szczecin;"Szczecin - gmina miejska";"320389355 ";"8513027273 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Monika Wieleba";"GMINA MIASTO SZCZECIN";"Miasto na prawach powiatu";ZACHODNIOPOMORSKIE;Szczecin;Szczecin
3313;"Centrum Kształcenia Praktycznego";"POWIATOWE CENTRUM KSZTAŁCENIA ZAWODOWEGO I USTAWICZNEGO W DRAWSKU POMORSKIM";"ul. Warmińska";"1 ";" ";"78-500 ";"Drawsko Pomorskie";23663;0949862;"3203024""";"943632420 ";" ";;;ZACHODNIOPOMORSKIE;drawski;"Drawsko Pomorskie - miasto";"321260511 ";"2530333265 ";publiczna;;;"Mirosław Piłatowski";"POWIAT DRAWSKI";"Powiat ziemski";ZACHODNIOPOMORSKIE;drawski;"Drawsko Pomorskie"
3429;Przedszkole;"PRZEDSZKOLE PUBLICZNE NR 62";"ul. Jasna";"74 ";" ";"70-784 ";Szczecin;07335;0977976;"3262011""";"914629150 ";"914629150 ";pp62@um.szczecin.pl;;ZACHODNIOPOMORSKIE;Szczecin;"Szczecin - gmina miejska";"320383393 ";"9552208507 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Magdalena Misiarek";"GMINA MIASTO SZCZECIN";"Miasto na prawach powiatu";ZACHODNIOPOMORSKIE;Szczecin;Szczecin
